Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
2019-08-19,MONAJPY,164,169,163.3,167,28854.0,4838871.0
2019-08-18,MONAJPY,160,167,155.5,164,49965.0,8046173.0
2019-08-17,MONAJPY,163,165.8,158.1,160,16662.0,2710488.3
2019-08-16,MONAJPY,166.4,168.8,158,163,21698.0,3523817.1
2019-08-15,MONAJPY,169.3,170,151.2,166.4,59263.0,9621874.8
2019-08-14,MONAJPY,183,189.9,165.2,169.3,28288.0,5058613.3
2019-08-13,MONAJPY,188.5,190,181.3,183,18497.0,3406666.0
2019-08-12,MONAJPY,191,192.1,185.6,188.5,7563.0,1424733.5
2019-08-11,MONAJPY,188,194.2,185,191,18220.0,3463192.5
2019-08-10,MONAJPY,193.2,194.9,175.9,188,81791.0,14929624.9
2019-08-09,MONAJPY,199.8,202.5,191.5,193.2,27484.0,5361546.1
2019-08-08,MONAJPY,201.5,203.4,195,199.8,39767.0,7896815.0
2019-08-07,MONAJPY,204.9,205,198,201.5,24882.0,5044007.8
2019-08-06,MONAJPY,209,209.1,201.5,204.9,41687.0,8604537.9
2019-08-05,MONAJPY,206.3,215.1,206.3,209,57452.0,12044481.0
2019-08-04,MONAJPY,204.1,206.4,200,206.3,11063.0,2261740.8
2019-08-03,MONAJPY,205,206.7,203.7,204.1,9671.0,1985790.4
2019-08-02,MONAJPY,206.5,207.9,204,205,18908.0,3895651.7
2019-08-01,MONAJPY,207,209,204,206.5,19795.0,4084104.5
2019-07-31,MONAJPY,207.2,210.7,206.6,207,36139.0,7521195.5
2019-07-30,MONAJPY,208.3,208.3,202.9,207.2,22165.0,4554815.1
2019-07-29,MONAJPY,208,213,201.8,208.3,25039.0,5145722.4
2019-07-28,MONAJPY,215.8,216.6,200,208,29901.0,6234547.3
2019-07-27,MONAJPY,223,226.5,211.6,215.8,38772.0,8480562.5
2019-07-26,MONAJPY,223.4,224.2,215.1,223,34439.0,7572823.9
2019-07-25,MONAJPY,219.5,226.5,218,223.4,54348.0,12139713.6
2019-07-24,MONAJPY,228.6,228.6,210.1,219.5,139087.0,30161787.1
2019-07-23,MONAJPY,216.2,233.9,213.4,228.6,235841.0,53483984.5
2019-07-22,MONAJPY,203.3,217,203.3,216.2,113385.0,24112584.8
2019-07-21,MONAJPY,206.9,207.2,199.2,203.3,23051.0,4693513.2
2019-07-20,MONAJPY,201,209.3,199.2,206.9,44522.0,9133426.6
2019-07-19,MONAJPY,206.5,206.5,196.6,201,46599.0,9399780.6
2019-07-18,MONAJPY,198,207,191,206.5,93523.0,18739729.3
2019-07-17,MONAJPY,186.6,205,183.7,198,136919.0,26277111.2
2019-07-16,MONAJPY,215,224.8,183.9,186.6,190718.0,39180652.8
2019-07-15,MONAJPY,186,222,174,215,336079.0,64181212.4
2019-07-14,MONAJPY,218,223.9,185,186,158927.0,31745053.3
2019-07-13,MONAJPY,235,237.4,208.5,218,87390.0,19443465.5
2019-07-12,MONAJPY,232,237.2,215,235,145991.0,33062687.1
2019-07-11,MONAJPY,251,252.4,230,232,109633.0,26148412.5
2019-07-10,MONAJPY,266,267,245,251,93448.0,24037702.7
2019-07-09,MONAJPY,255.4,266.3,253.4,266,75881.0,19580858.7
2019-07-08,MONAJPY,254,258,251.4,255.4,60581.0,15403913.0
2019-07-07,MONAJPY,252.8,256.9,251.8,254,22380.0,5672212.3
2019-07-06,MONAJPY,252.5,263,251.9,252.8,52824.0,13530458.1
2019-07-05,MONAJPY,250,258.4,246.3,252.5,58645.0,14826130.2
2019-07-04,MONAJPY,265,268,249.4,250,65689.0,17022777.8
2019-07-03,MONAJPY,251,280,250,265,284106.0,75557476.1
2019-07-02,MONAJPY,260,261.7,231,251,243020.0,59583211.3
2019-07-01,MONAJPY,263.5,270.9,252.5,260,122978.0,32338070.9
2019-06-30,MONAJPY,265.7,290.4,260.2,263.5,251320.0,68912182.7
2019-06-29,MONAJPY,272.8,273.4,260,265.7,76648.0,20358732.7
2019-06-28,MONAJPY,266.3,276.8,260,272.8,180905.0,48437025.6
2019-06-27,MONAJPY,298,302.9,254.1,266.3,351222.0,96280219.3
2019-06-26,MONAJPY,308.3,315,290.1,298,368854.0,112196697.0
2019-06-25,MONAJPY,290.1,314.8,290.1,308.3,398017.0,120816590.5
2019-06-24,MONAJPY,289,296,280.2,290.1,140624.0,40873431.4
2019-06-23,MONAJPY,290,294.9,271.5,289,215459.0,61172141.4
2019-06-22,MONAJPY,303.5,305.8,270,290,435130.0,126847366.0
2019-06-21,MONAJPY,252.3,314.9,251.1,303.5,1060734.0,304805377.0
2019-06-20,MONAJPY,256,258.5,245,252.3,148096.0,37366402.5
2019-06-19,MONAJPY,242.7,262,242.7,256,199070.0,50306313.0
2019-06-18,MONAJPY,249.3,276,235.1,242.7,511407.0,130213026.0
2019-06-17,MONAJPY,228.6,249.3,224.4,249.3,281749.0,66972046.3
2019-06-16,MONAJPY,215.1,240.5,215.1,228.6,239736.0,53768779.1
2019-06-15,MONAJPY,214,222.9,213.8,215.1,74538.0,16181610.6
2019-06-14,MONAJPY,222,223,210.2,214,74577.0,16089409.2
2019-06-13,MONAJPY,218,231,215,222,117855.0,26194021.3
2019-06-12,MONAJPY,226.3,228,205.4,218,270960.0,58299327.9
2019-06-11,MONAJPY,240.3,243,225.2,226.3,164560.0,38101828.0
2019-06-10,MONAJPY,239.2,243.9,230.1,240.3,113394.0,26969883.9
2019-06-09,MONAJPY,267,267.2,232,239.2,202263.0,49913544.3
2019-06-08,MONAJPY,249.8,280,239.5,267,644819.0,167674483.1
2019-06-07,MONAJPY,245.5,250,220,249.8,410518.0,95943982.3
2019-06-06,MONAJPY,264,268.4,220,245.5,751819.0,184038544.3
2019-06-05,MONAJPY,313,409,253.6,264,2872279.0,948762870.2
2019-06-04,MONAJPY,295,320.9,291,313,366850.0,113349356.3
2019-06-03,MONAJPY,324,327,285,295,497672.0,151200843.0
2019-06-02,MONAJPY,384,388,260.6,324,2212256.0,712510322.6
2019-06-01,MONAJPY,255,390,242,384,2185085.0,675122385.5
2019-05-31,MONAJPY,120,364,118.8,255,2477981.0,539057644.8
2019-05-30,MONAJPY,122.1,129,117.1,120,83348.0,10332673.7
2019-05-29,MONAJPY,119.6,126.6,118.3,122.1,76756.0,9411544.9
2019-05-28,MONAJPY,121.6,123,118,119.6,32759.0,3941309.3
2019-05-27,MONAJPY,119,129.7,117.5,121.6,176357.0,21634632.5
2019-05-26,MONAJPY,114.9,119.3,113,119,63661.0,7366008.7
2019-05-25,MONAJPY,113.8,116.3,113.8,114.9,62619.0,7193346.7
2019-05-24,MONAJPY,113.6,116.7,111.7,113.8,65027.0,7415666.3
2019-05-23,MONAJPY,111.5,113.6,108.8,113.6,50280.0,5581651.9
2019-05-22,MONAJPY,117.9,119,111.5,111.5,52846.0,6111944.8
2019-05-21,MONAJPY,119,119,115.2,117.9,42673.0,4999160.4
2019-05-20,MONAJPY,130,130,113,119,55624.0,6672855.1
2019-05-19,MONAJPY,108.5,130,108.5,130,118563.0,14227179.3
2019-05-18,MONAJPY,116,116.7,107.8,108.5,28324.0,3163290.2
2019-05-17,MONAJPY,121.5,123.5,108,116,86064.0,9701715.7
2019-05-16,MONAJPY,124,135.6,118,121.5,112479.0,14148819.1
2019-05-15,MONAJPY,116.7,124.9,113.1,124,76279.0,9121768.1
2019-05-14,MONAJPY,108.2,128.5,106.2,116.7,163802.0,19214569.4
2019-05-13,MONAJPY,106.7,109,103.5,108.2,31819.0,3399986.8
2019-05-12,MONAJPY,111.9,113,103.1,106.7,28398.0,3054527.6
2019-05-11,MONAJPY,100.4,111.9,100.4,111.9,75946.0,7940934.2
2019-05-10,MONAJPY,102.3,107,99.1,100.4,44316.0,4501929.2
2019-05-09,MONAJPY,107,109.3,100.6,102.3,46764.0,4882417.2
2019-05-08,MONAJPY,109.7,109.8,105,107,34779.0,3744679.3
2019-05-07,MONAJPY,110.1,115,108.2,109.7,23430.0,2585567.5
2019-05-06,MONAJPY,115,115,109,110.1,35528.0,3939138.2
2019-05-05,MONAJPY,116,119.4,114.1,115,8888.0,1038485.2
2019-05-04,MONAJPY,120,120,111.5,116,15977.0,1842683.3
2019-05-03,MONAJPY,117,121.2,113.6,120,36782.0,4317606.1
2019-05-02,MONAJPY,120,120.9,117,117,19470.0,2309087.8
