ID,specific_sheet_name,Year,quantity-type,quantity-value,quantity-units
227,consolidated balance sheets,2015,Total assets,3341,thousands
229,consolidated balance sheets,2015,Total assets,12055,thousands
230,consolidated balance sheets,2015,Total assets,21056,thousands
231,consolidated balance sheets,2015,Total Assets,2366,thousands
236,consolidated balance sheets,2016,total assets,175142000,thousands
237,consolidated balance sheets,2015,Total assets,15134,thousands
239,consolidated balance sheets,2015,TOTAL ASSETS,54000,thousands
241,consolidated balance sheets,2016,Total assets,4108720000,thousands
243,consolidated balance sheets,2015,Total assets,48222,thousands
247,consolidated balance sheets,2015,Total assets,247787000,thousands
249,consolidated balance sheets,2015,Total Assets,3340,thousands
252,consolidated balance sheets,2015,Total assets,53134,thousands
253,consolidated balance sheets,2016,Total assets,188879129,thousands
254,consolidated balance sheets,2015,Total assets,1844402000,thousands
258,consolidated balance sheets,2016,Total assets,1978073000,thousands
259,consolidated balance sheets,2015,Total assets,2249,thousands
260,consolidated balance sheets,2015,Total Assets,56565087,thousands
261,consolidated balance sheets,2016,Total assets,3865625000,thousands
262,consolidated balance sheets,2015,Total assets,1601030000,thousands
264,consolidated balance sheets,2015,TOTAL ASSETS,298218000,thousands
265,consolidated balance sheets,2016,Total assets,11257885000,thousands
268,consolidated balance sheets,2015,Total assets,7279,thousands
272,consolidated balance sheets,2015,TOTAL ASSETS,22110,thousands
273,consolidated balance sheets,2016,Total assets,5506,thousands
275,consolidated balance sheets,2015,Total Assets,561420000,thousands
276,consolidated balance sheets,2015,Total Assets,121156,thousands
278,consolidated balance sheets,2015,Total assets,5103850000,thousands
279,consolidated balance sheets,2016,Total assets,1719716000,thousands
281,consolidated balance sheets,2016,Total Assets,26369000,thousands
283,consolidated balance sheets,2015,Total assets,121729713,thousands
284,consolidated balance sheets,2016,TOTAL ASSETS,121738559,thousands
285,consolidated balance sheets,2015,TOTAL ASSETS,1666232000,thousands
288,consolidated balance sheets,2016,Total assets,1732576000,thousands
292,consolidated balance sheets,2016,Total assets,284577000,thousands
293,consolidated balance sheets,2016,Total assets,220100000,thousands
294,consolidated balance sheets,2015,Total assets,13421000,thousands
295,consolidated balance sheets,2016,Total assets,21743,thousands
297,consolidated balance sheets,2015,Total Assets,2455303000,thousands
300,consolidated balance sheets,2015,TOTAL ASSETS,4613693000,thousands
301,consolidated balance sheets,2015,Total Assets,14787,thousands
303,consolidated balance sheets,2015,Total Assets,47227593,thousands
304,consolidated balance sheets,2016,Total assets,392188000,thousands
305,consolidated balance sheets,2015,Total assets,22890000,thousands
306,consolidated balance sheets,2016,Total assets,111821000,thousands
307,consolidated balance sheets,2015,Total assets,4509,thousands
312,consolidated balance sheets,2015,Total assets,1289915000,thousands
315,consolidated balance sheets,2015,Total assets,149129750,thousands
317,consolidated balance sheets,2015,TOTAL ASSETS,182866000,thousands
318,consolidated balance sheets,2016,Total assets,292892000,thousands
321,consolidated balance sheets,2015,TOTAL ASSETS,82479,thousands
322,consolidated balance sheets,2016,Total assets,368991000,thousands
325,consolidated balance sheets,2015,Total assets,3221917000000,thousands
327,consolidated balance sheets,2015,Total assets,666,thousands
328,consolidated balance sheets,2016,Total Assets,20576,thousands
330,consolidated balance sheets,2015,Total assets,57205295,thousands
338,consolidated balance sheets,2016,Total assets,241456360,thousands
342,consolidated balance sheets,2016,Total assets,56564000,thousands
344,consolidated balance sheets,2015,TOTAL ASSETS,82479,thousands
345,consolidated balance sheets,2015,Total Assets,121156,thousands
346,consolidated balance sheets,2016,Total assets,2885168000,thousands
351,consolidated balance sheets,2015,Total Assets,9993009000,thousands
354,consolidated balance sheets,2016,Total Assets,16098,thousands
355,consolidated balance sheets,2016,Total assets,120214000,thousands
358,consolidated balance sheets,2016,Total assets,921537000,thousands
359,consolidated balance sheets,2015,Total Assets,6894,thousands
362,consolidated balance sheets,2016,Total assets,7473,thousands
363,consolidated balance sheets,2015,Total Assets,2034,thousands
364,consolidated balance sheets,2015,Total assets,31997,thousands
366,consolidated balance sheets,2016,TOTAL ASSETS,45926000,thousands
367,consolidated balance sheets,2016,Total assets,21712,thousands
369,consolidated balance sheets,2015,Total Assets,194520,thousands
370,consolidated balance sheets,2015,TOTAL ASSETS,2181,thousands
372,consolidated balance sheets,2015,TOTAL ASSETS,2148672928,thousands
376,consolidated balance sheets,2016,Total assets,11202000,thousands
377,consolidated balance sheets,2015,Total assets,1503624000,thousands
379,consolidated balance sheets,2015,Total assets,81163607,thousands
380,consolidated balance sheets,2015,Total Assets,16439,thousands
382,consolidated balance sheets,2015,Total assets,281502000,thousands
384,consolidated balance sheets,2015,Total Assets,1391352000,thousands
385,consolidated balance sheets,2016,Total assets,143131000,thousands
387,consolidated balance sheets,2015,Total assets,2143161000,thousands
390,consolidated balance sheets,2016,Total assets,3153,thousands
391,consolidated balance sheets,2015,Total assets,4505,thousands
398,consolidated balance sheets,2015,Total assets,2071327000,thousands
400,consolidated balance sheets,2015,Total Assets,166086000,thousands
401,consolidated balance sheets,2015,Total assets,471251000,thousands
402,consolidated balance sheets,2015,Total assets,11790196000,thousands
403,consolidated balance sheets,2015,Total assets,11790196000,thousands
405,consolidated balance sheets,2015,Total Assets,480949000,thousands
409,consolidated balance sheets,2016,Total assets,2039475000,thousands
410,consolidated balance sheets,2016,TOTAL ASSETS,122973,thousands
411,consolidated balance sheets,2016,"Total assets, current",772724000,thousands
412,consolidated balance sheets,2016,TOTAL ASSETS,6832019000,thousands
414,consolidated balance sheets,2016,Total assets,29010,thousands
419,consolidated balance sheets,2015,Total assets,25716,thousands
421,consolidated balance sheets,2016,Total Assets,42549,thousands
423,consolidated balance sheets,2016,Total Assets,1263925000,thousands
424,consolidated balance sheets,2015,Total assets,17846000,thousands
432,consolidated balance sheets,2015,Total assets,3636567000,thousands
435,consolidated balance sheets,2015,Total Assets,177,thousands
439,consolidated balance sheets,2015,TOTAL ASSETS,2319263000,thousands
448,consolidated balance sheets,2015,Total assets,16738,thousands
449,consolidated balance sheets,2015,Total assets,1556,thousands
451,consolidated balance sheets,2016,Total Assets,1782096000,thousands
453,consolidated balance sheets,2015,Total assets,103065,thousands
454,consolidated balance sheets,2015,Total assets,26173000,thousands
455,consolidated balance sheets,2015,Total Assets,7074989,thousands
460,consolidated balance sheets,2016,Total assets,5653,thousands
461,consolidated balance sheets,2015,TOTAL ASSETS,1474485000,thousands
463,consolidated balance sheets,2015,Total Assets,346302000,thousands
465,consolidated balance sheets,2015,TOTAL ASSETS,12585,thousands
468,consolidated balance sheets,2015,Total assets,146957000,thousands
469,consolidated balance sheets,2016,Total assets,4142,thousands
475,consolidated balance sheets,2016,Total assets,4962432000,thousands
477,consolidated balance sheets,2015,Total Assets,84104,thousands
479,consolidated balance sheets,2015,Total assets,1441205000,thousands
481,consolidated balance sheets,2015,Total assets,8341,thousands
485,consolidated balance sheets,2016,Total Assets,1939,thousands
486,consolidated balance sheets,2016,Total assets,2368793000,thousands
488,consolidated balance sheets,2016,Total Assets,72405000,thousands
489,consolidated balance sheets,2016,Total assets,235924000,thousands
492,consolidated balance sheets,2015,Total assets,4156266000,thousands
493,consolidated balance sheets,2016,Total assets,24120471,thousands
494,consolidated balance sheets,2016,Total Assets,33897,thousands
495,consolidated balance sheets,2016,TOTAL ASSETS,982444000,thousands
496,consolidated balance sheets,2016,Total assets,195560000,thousands
497,consolidated balance sheets,2015,Total assets,1361827000,thousands
498,consolidated balance sheets,2016,Total assets,378083000,thousands
500,consolidated balance sheets,2016,Total Assets,6077,thousands
501,consolidated balance sheets,2016,Total assets,12271528000,thousands
503,consolidated balance sheets,2016,Total assets,1818258000,thousands
511,consolidated balance sheets,2015,Total assets,35568,thousands
512,consolidated balance sheets,2016,Total Assets,8493,thousands
514,consolidated balance sheets,2015,Total assets,251937,thousands
517,consolidated balance sheets,2015,Total assets,76029,thousands
519,consolidated balance sheets,2015,TOTAL ASSETS,402127000,thousands
520,consolidated balance sheets,2015,Total assets,2176,thousands
522,consolidated balance sheets,2016,Total assets,31266,thousands
523,consolidated balance sheets,2016,Total assets,252225000,thousands
524,consolidated balance sheets,2015,Total assets,358260000,thousands
529,consolidated balance sheets,2015,Total assets,3448,thousands
533,consolidated balance sheets,2015,Total assets,18216,thousands
534,consolidated balance sheets,2015,Total Assets,5680,thousands
535,consolidated balance sheets,2016,Total assets,45236000,thousands
536,consolidated balance sheets,2015,Total assets,41228,thousands
537,consolidated balance sheets,2015,Total Assets,6552689000,thousands
538,consolidated balance sheets,2015,TOTAL ASSETS,46599000,thousands
539,consolidated balance sheets,2015,Total assets,172013000,thousands
545,consolidated balance sheets,2015,Total assets,8183,thousands
546,consolidated balance sheets,2016,Total Assets,56563,thousands
547,consolidated balance sheets,2015,Total Assets,2586000,thousands
550,consolidated balance sheets,2015,Total assets,19709399,thousands
552,consolidated balance sheets,2016,Total assets,2064364000,thousands
558,consolidated balance sheets,2016,TOTAL ASSETS,655,thousands
559,consolidated balance sheets,2016,Total assets,10160757,thousands
560,consolidated balance sheets,2016,Total assets,16467260,thousands
565,consolidated balance sheets,2016,TOTAL ASSETS,4423,thousands
566,consolidated balance sheets,2016,Total Assets,2132101,thousands
569,consolidated balance sheets,2015,TOTAL ASSETS,584722000,thousands
571,consolidated balance sheets,2016,Total Assets,1235,thousands
581,consolidated balance sheets,2015,Total assets,47419000,thousands
583,consolidated balance sheets,2016,TOTAL ASSETS,1229758028,thousands
584,consolidated balance sheets,2015,Total assets,406505000,thousands
586,consolidated balance sheets,2016,Total assets,837917000,thousands
588,consolidated balance sheets,2015,TOTAL ASSETS,4377,thousands
589,consolidated balance sheets,2015,TOTAL ASSETS,4377,thousands
591,consolidated balance sheets,2016,Total assets,136110000,thousands
593,consolidated balance sheets,2015,Total assets,22267,thousands
595,consolidated balance sheets,2015,Total assets,7635,thousands
598,consolidated balance sheets,2015,Total assets,235540000,thousands
602,consolidated balance sheets,2015,Total assets,1045329000,thousands
605,consolidated balance sheets,2015,Total assets,1220790000,thousands
606,consolidated balance sheets,2015,Total assets,387384000,thousands
607,consolidated balance sheets,2016,Total assets,24270200000,thousands
608,consolidated balance sheets,2015,Total Assets,200520000,thousands
609,consolidated balance sheets,2016,Total Assets,1025241,thousands
611,consolidated balance sheets,2016,Total assets,3727082000,thousands
613,consolidated balance sheets,2015,TOTAL ASSETS,119636328,thousands
615,consolidated balance sheets,2015,Total Assets,7278,thousands
616,consolidated balance sheets,2015,Total assets,25182,thousands
618,consolidated balance sheets,2016,Total assets,576643000,thousands
619,consolidated balance sheets,2016,TOTAL ASSETS,21396,thousands
620,consolidated balance sheets,2015,Total assets,42440857,thousands
621,consolidated balance sheets,2015,Total Assets,24196,thousands
622,consolidated balance sheets,2015,Total assets,18464928,thousands
623,consolidated balance sheets,2016,Total assets,2422365000,thousands
624,consolidated balance sheets,2016,Total assets,7698,thousands
625,consolidated balance sheets,2015,Total assets,34260,thousands
633,consolidated balance sheets,2015,Total Assets,116749,thousands
638,consolidated balance sheets,2015,Total assets,5278640000,thousands
640,consolidated balance sheets,2015,Total assets,14250399000,thousands
642,consolidated balance sheets,2015,TOTAL ASSETS,43437,thousands
643,consolidated balance sheets,2015,Total Assets,23989007,thousands
644,consolidated balance sheets,2015,Total Assets,3429536000,thousands
645,consolidated balance sheets,2016,Total assets,60020000,thousands
646,consolidated balance sheets,2016,Total assets,3271862000,thousands
649,consolidated balance sheets,2016,Total Assets,204933000,thousands
652,consolidated balance sheets,2015,Total assets,650378000,thousands
653,consolidated balance sheets,2015,Total assets,15446111000,thousands
654,consolidated balance sheets,2015,Total Assets,1820904000,thousands
655,consolidated balance sheets,2015,Total Assets,3274952000,thousands
656,consolidated balance sheets,2015,Total assets,2777840000,thousands
659,consolidated balance sheets,2016,Total Assets,582690000,thousands
660,consolidated balance sheets,2015,TOTAL ASSETS,70578000,thousands
664,consolidated balance sheets,2015,Total Assets,21109,thousands
665,consolidated balance sheets,2015,TOTAL ASSETS,63339,thousands
666,consolidated balance sheets,2016,Total assets,57758700,thousands
669,consolidated balance sheets,2015,Total assets,5294,thousands
670,consolidated balance sheets,2015,Total Assets,115312000,thousands
671,consolidated balance sheets,2015,TOTAL ASSETS,24582565,thousands
672,consolidated balance sheets,2016,Total assets,314777000,thousands
673,consolidated balance sheets,2015,Total assets,946,thousands
679,consolidated balance sheets,2016,Total assets,6440,thousands
684,consolidated balance sheets,2015,Total assets,2806516000,thousands
685,consolidated balance sheets,2015,Total assets,11857,thousands
687,consolidated balance sheets,2015,TOTAL ASSETS,4042441000,thousands
690,consolidated balance sheets,2015,Total assets,1430332000,thousands
