Pos,Neg,Neu,Total,Price,Year,Month,Day
12489,3895,20812,37196,13769.0,2018,1,1
0,0,0,0,13376.0,2018,1,2
0,0,0,0,14722.0,2018,1,3
0,0,0,0,15150.0,2018,1,4
0,0,0,0,15159.0,2018,1,5
14003,4458,23958,42419,16911.0,2018,1,6
14917,4544,23698,43159,17169.0,2018,1,7
0,0,0,0,16214.0,2018,1,8
0,0,0,0,14906.0,2018,1,9
20011,8377,36805,65193,14425.0,2018,1,10
20790,8632,42156,71578,14900.0,2018,1,11
16106,6010,29790,51906,13254.0,2018,1,12
13190,4037,21561,38788,13794.0,2018,1,13
14986,4982,23646,43614,14199.0,2018,1,14
14621,4516,27630,46767,13558.0,2018,1,15
24158,8874,45872,78904,13601.0,2018,1,16
23960,9277,47889,81126,11063.0,2018,1,17
22306,7026,38224,67556,11108.0,2018,1,18
0,0,0,0,11031.0,2018,1,19
15346,4988,27315,47649,11476.0,2018,1,20
11353,4474,23270,39097,12731.0,2018,1,21
19028,6050,34400,59478,11514.0,2018,1,22
20406,6319,38283,65008,10779.0,2018,1,23
21151,6132,37652,64935,10811.0,2018,1,24
21654,6387,36089,64130,11391.0,2018,1,25
19216,6088,33759,59063,11147.0,2018,1,26
15091,4243,25647,44981,11069.0,2018,1,27
12440,3508,21164,37112,11458.0,2018,1,28
15145,5221,26351,46717,11829.0,2018,1,29
0,0,0,0,11217.82,2018,1,30
0,0,0,0,10171.0,2018,1,31
