Pos,Neg,Neu,Total,Price,Year,Month,Day
5248,1045,8223,14516,965.03,2017,1,1
7208,1284,12265,20757,998.01,2017,1,2
7444,1193,12992,21629,1020.7,2017,1,3
7657,2215,13170,23042,1038.9,2017,1,4
5569,1516,10089,17174,1128.8,2017,1,5
5727,1705,13926,21358,1003.9,2017,1,6
5051,1319,10307,16677,896.9,2017,1,7
4126,1326,8053,13505,905.2,2017,1,8
133,113,435,681,914.78,2017,1,9
0,0,0,0,902.01,2017,1,10
5104,1987,13191,20282,908.89,2017,1,11
4807,1915,12512,19234,748.34,2017,1,12
3797,1971,10347,16115,814.8,2017,1,13
3266,1200,7896,12362,833.37,2017,1,14
3417,1287,7921,12625,820.02,2017,1,15
3916,1427,10203,15546,820.3,2017,1,16
4806,1309,10138,16253,830.98,2017,1,17
4112,1385,10354,15851,906.4,2017,1,18
3897,2145,9498,15540,892.49,2017,1,19
3889,1561,9118,14568,901.7,2017,1,20
3921,907,7339,12167,894.47,2017,1,21
3897,920,7755,12572,925.7,2017,1,22
4299,1625,10082,16006,924.07,2017,1,23
3946,1117,9829,14892,894.29,2017,1,24
4326,1417,9792,15535,887.66,2017,1,25
4020,1502,9637,15159,898.21,2017,1,26
4604,1514,9646,15764,916.01,2017,1,27
3539,869,7660,12068,916.37,2017,1,28
0,0,0,0,919.53,2017,1,29
0,0,0,0,911.01,2017,1,30
0,0,0,0,917.3,2017,1,31
