Pos,Neg,Neu,Total,Price,Year,Month,Day
10770,3043,19191,33004,9240.6,2018,5,1
0,0,0,0,9068.2,2018,5,2
0,0,0,0,9236.4,2018,5,3
0,0,0,0,9759.0,2018,5,4
0,0,0,0,9703.0,2018,5,5
9155,3368,18046,30569,9861.2,2018,5,6
0,0,0,0,9658.7,2018,5,7
0,0,0,0,9370.0,2018,5,8
0,0,0,0,9184.7,2018,5,9
0,0,0,0,9318.2,2018,5,10
11532,4040,21604,37176,9018.0,2018,5,11
9655,3078,17592,30325,8412.4,2018,5,12
9347,2867,16566,28780,8470.8,2018,5,13
11610,3671,21107,36388,8683.6,2018,5,14
11916,3766,22023,37705,8670.8,2018,5,15
11397,3416,21549,36362,8467.5,2018,5,16
0,0,0,0,8336.1,2018,5,17
11948,3682,19996,35626,8054.3,2018,5,18
0,0,0,0,8238.9,2018,5,19
8065,3168,16204,27437,8231.0,2018,5,20
9915,3480,18285,31680,8523.6,2018,5,21
12373,3306,21326,37005,8398.8,2018,5,22
12159,3646,22454,38259,7977.85,2018,5,23
11153,4891,22564,38608,7494.8,2018,5,24
0,0,0,0,7576.7,2018,5,25
8580,3360,15928,27868,7456.7,2018,5,26
8485,3011,16060,27556,7327.7,2018,5,27
5836,1828,12174,19838,7339.7,2018,5,28
10416,3441,18605,32462,7097.9,2018,5,29
0,0,0,0,7465.2,2018,5,30
0,0,0,0,7375.12,2018,5,31
