Pos,Neg,Neu,Total,Price,Year,Month,Day
14880,5373,25411,45664,10315.0,2018,3,1
0,0,0,0,10923.0,2018,3,2
0,0,0,0,11024.0,2018,3,3
0,0,0,0,11454.0,2018,3,4
0,0,0,0,11499.0,2018,3,5
16218,4904,28049,49171,11402.0,2018,3,6
0,0,0,0,10720.0,2018,3,7
0,0,0,0,9910.6,2018,3,8
0,0,0,0,9300.0,2018,3,9
10237,3113,18472,31822,9216.2,2018,3,10
11870,3854,20496,36220,8769.9,2018,3,11
14358,4512,27254,46124,9527.7,2018,3,12
14704,4310,26756,45770,9130.2,2018,3,13
15343,5554,30351,51248,9135.2,2018,3,14
12794,4037,23460,40291,8177.2,2018,3,15
15862,4922,26968,47752,8250.0,2018,3,16
13069,4432,22010,39511,8250.0,2018,3,17
11940,4433,21878,38251,7845.0,2018,3,18
0,0,0,0,8200.3,2018,3,19
14387,5029,26554,45970,8600.2,2018,3,20
14985,5901,26507,47393,8899.7,2018,3,21
13609,5497,24579,43685,8888.2,2018,3,22
11769,3929,23158,38856,8699.3,2018,3,23
10750,3145,19508,33403,8914.4,2018,3,24
10002,2863,18408,31273,8522.7,2018,3,25
12236,3701,24368,40305,8445.0,2018,3,26
12914,4238,23093,40245,8131.12,2018,3,27
12362,3727,23566,39655,7784.6,2018,3,28
13103,4477,25274,42854,7936.0,2018,3,29
0,0,0,0,7094.0,2018,3,30
0,0,0,0,6840.4,2018,3,31
