Pos,Neg,Neu,Total,Price,Year,Month,Day
5100,1630,9067,15797,2420.6,2017,7,1
1097,383,1820,3300,2346.2,2017,7,2
5831,1801,10881,18513,2445.1,2017,7,3
0,0,0,0,2524.0,2017,7,4
7022,1868,12725,21615,2579.9,2017,7,5
6023,1769,12998,20790,2598.6,2017,7,6
5973,1673,11965,19611,2593.2,2017,7,7
4861,1300,9246,15407,2479.3,2017,7,8
4805,1116,8925,14846,2542.0,2017,7,9
0,0,0,0,2477.9,2017,7,10
6831,1997,13630,22458,2318.3,2017,7,11
7268,2427,13971,23666,2283.8,2017,7,12
7157,1677,12711,21545,2375.6,2017,7,13
5505,1937,12805,20247,2330.1,2017,7,14
4844,1712,10013,16569,2206.5,2017,7,15
5165,1328,10006,16499,1978.6,2017,7,16
5908,2361,13419,21688,1925.0,2017,7,17
1669,428,3343,5440,2220.0,2017,7,18
6114,2123,12716,20953,2302.8,2017,7,19
7553,2160,14775,24488,2253.4,2017,7,20
6102,1793,13147,21042,2865.1,2017,7,21
5135,1141,9937,16213,2659.0,2017,7,22
4738,1367,9832,15937,2844.7,2017,7,23
6065,1417,12810,20292,2750.1,2017,7,24
6386,2286,14995,23667,2769.7,2017,7,25
6238,2774,15962,24974,2560.9,2017,7,26
6301,2494,15773,24568,2527.74,2017,7,27
6170,2279,15034,23483,2664.6,2017,7,28
0,0,0,0,2784.8,2017,7,29
0,0,0,0,2713.1,2017,7,30
0,0,0,0,2748.2,2017,7,31
