Pos,Neg,Neu,Total,Price,Year,Month,Day
10576,2761,19947,33284,7485.8,2018,6,1
0,0,0,0,7521.0,2018,6,2
0,0,0,0,7638.1,2018,6,3
0,0,0,0,7718.0,2018,6,4
0,0,0,0,7488.3,2018,6,5
11069,4089,19398,34556,7621.9,2018,6,6
0,0,0,0,7654.0,2018,6,7
0,0,0,0,7688.9,2018,6,8
0,0,0,0,7615.1,2018,6,9
0,0,0,0,7498.5,2018,6,10
10583,4473,22859,37915,6758.0,2018,6,11
9866,3676,19672,33214,6873.3,2018,6,12
11150,4955,21091,37196,6543.9,2018,6,13
10847,4902,18930,34679,6295.1,2018,6,14
9112,3452,17830,30394,6633.7,2018,6,15
7003,2438,14355,23796,6385.0,2018,6,16
0,0,0,0,6485.9,2018,6,17
9109,3041,17843,29993,6438.4,2018,6,18
0,0,0,0,6709.2,2018,6,19
7157,2072,12744,21973,6735.5,2018,6,20
8849,2889,17457,29195,6760.4,2018,6,21
9428,3463,19417,32308,6715.2,2018,6,22
7677,2333,14756,24766,6042.6,2018,6,23
8061,2449,14738,25248,6151.93,2018,6,24
0,0,0,0,6148.04,2018,6,25
9617,2710,17622,29949,6246.6,2018,6,26
10011,3241,16509,29761,6073.4,2018,6,27
9297,3143,16695,29135,6133.09,2018,6,28
9880,3320,18332,31532,5848.1,2018,6,29
0,0,0,0,6208.1,2018,6,30
