Pos,Neg,Neu,Total,Price,Year,Month,Day
5532,1576,10975,18083,1435.0,2017,5,1
7014,1683,11770,20467,1533.0,2017,5,2
5362,1311,11204,17877,1558.5,2017,5,3
0,0,0,0,1619.0,2017,5,4
4875,1510,11109,17494,1607.1,2017,5,5
4064,1177,9147,14388,1545.1,2017,5,6
4090,1033,8487,13610,1597.0,2017,5,7
4985,1425,11071,17481,1619.9,2017,5,8
7123,1567,12976,21666,1703.5,2017,5,9
0,0,0,0,1760.0,2017,5,10
6346,1183,11322,18851,1796.9,2017,5,11
5950,1375,12549,19874,1853.9,2017,5,12
4467,1396,9940,15803,1735.0,2017,5,13
4062,1172,8949,14183,1819.5,2017,5,14
6037,2008,12713,20758,1827.3,2017,5,15
5660,2117,13108,20885,1772.0,2017,5,16
5523,2081,11729,19333,1786.2,2017,5,17
5785,1474,11885,19144,1870.0,2017,5,18
6390,1442,12873,20705,1941.5,2017,5,19
5407,1273,11348,18028,1966.5,2017,5,20
1804,416,4179,6399,2059.3,2017,5,21
9884,1956,18560,30400,2026.6,2017,5,22
8027,1998,16222,26247,2087.3,2017,5,23
8521,2008,15873,26402,2249.6,2017,5,24
9597,3828,17726,31151,2395.5,2017,5,25
7308,2313,15482,25103,2268.1,2017,5,26
5348,1491,12010,18849,2125.9,2017,5,27
4589,1203,10112,15904,1980.2,2017,5,28
0,0,0,0,2056.9,2017,5,29
0,0,0,0,2207.4,2017,5,30
0,0,0,0,2146.7,2017,5,31
