Pos,Neg,Neu,Total,Price,Year,Month,Day
10587,2529,15530,28646,-1,2018,11,1
0,0,0,0,-1,2018,11,2
0,0,0,0,-1,2018,11,3
0,0,0,0,-1,2018,11,4
0,0,0,0,-1,2018,11,5
488,204,643,1335,-1,2018,11,6
0,0,0,0,-1,2018,11,7
0,0,0,0,-1,2018,11,8
0,0,0,0,-1,2018,11,9
7116,2213,10440,19769,-1,2018,11,10
2719,759,3813,7291,-1,2018,11,11
7686,2312,12009,22007,-1,2018,11,12
5212,1940,8400,15552,-1,2018,11,13
10933,3897,17581,32411,-1,2018,11,14
939,347,1444,2730,-1,2018,11,15
9540,3868,14953,28361,-1,2018,11,16
7534,2429,11616,21579,-1,2018,11,17
7341,2313,10323,19977,-1,2018,11,18
0,0,0,0,-1,2018,11,19
13487,5957,22322,41766,-1,2018,11,20
10981,4424,17933,33338,-1,2018,11,21
1125,483,1694,3302,-1,2018,11,22
9385,3595,15048,28028,-1,2018,11,23
5855,2112,8740,16707,-1,2018,11,24
10814,4363,15733,30910,-1,2018,11,25
12351,4804,18467,35622,-1,2018,11,26
11475,4175,17285,32935,-1,2018,11,27
4837,1675,6663,13175,-1,2018,11,28
9585,3324,14651,27560,-1,2018,11,29
0,0,0,0,-1,2018,11,30
