Pos,Neg,Neu,Total,Price,Year,Month,Day
9722,3662,16412,29796,7731.3,2018,8,1
0,0,0,0,7606.0,2018,8,2
0,0,0,0,7535.2,2018,8,3
0,0,0,0,7420.0,2018,8,4
0,0,0,0,7013.22,2018,8,5
10248,3060,15454,28762,7025.8,2018,8,6
0,0,0,0,6941.2,2018,8,7
0,0,0,0,6718.8,2018,8,8
0,0,0,0,6280.7,2018,8,9
0,0,0,0,6533.6,2018,8,10
8784,2673,12677,24134,6146.7,2018,8,11
1661,491,2673,4825,6086.2,2018,8,12
9071,3264,14947,27282,6313.9,2018,8,13
10630,3723,18006,32359,6251.9,2018,8,14
9718,3198,15670,28586,6189.0,2018,8,15
8903,2607,13598,25108,6270.2,2018,8,16
0,0,0,0,6315.6,2018,8,17
7562,2231,10653,20446,6584.05,2018,8,18
0,0,0,0,6391.2,2018,8,19
9385,3523,13699,26607,6485.1,2018,8,20
10023,3712,15739,29474,6255.9,2018,8,21
10104,3738,15748,29590,6479.1,2018,8,22
9829,6019,13978,29826,6362.1,2018,8,23
9157,4087,14146,27390,6527.2,2018,8,24
0,0,0,0,6693.6,2018,8,25
7297,2485,11121,20903,6732.9,2018,8,26
9340,2758,15325,27423,6707.0,2018,8,27
10252,3032,15673,28957,6909.4,2018,8,28
9633,2786,14476,26895,7079.9,2018,8,29
0,0,0,0,7039.0,2018,8,30
0,0,0,0,6986.0,2018,8,31
