Pos,Neg,Neu,Total,Price,Year,Month,Day
7479,2463,14095,24037,-1,2017,10,1
0,0,0,0,-1,2017,10,2
8381,2676,18675,29732,-1,2017,10,3
0,0,0,0,-1,2017,10,4
7450,2751,17461,27662,-1,2017,10,5
3736,1980,8540,14256,-1,2017,10,6
6124,2001,13145,21270,-1,2017,10,7
6190,2063,13930,22183,-1,2017,10,8
9007,2580,20038,31625,-1,2017,10,9
0,0,0,0,-1,2017,10,10
8653,2689,19792,31134,-1,2017,10,11
15693,3853,28045,47591,-1,2017,10,12
14175,4372,26549,45096,-1,2017,10,13
8960,2762,16716,28438,-1,2017,10,14
8369,2379,16751,27499,-1,2017,10,15
10886,3429,19699,34014,-1,2017,10,16
9246,3599,19327,32172,-1,2017,10,17
8932,2566,18711,30209,-1,2017,10,18
9888,3048,19256,32192,-1,2017,10,19
14106,3598,21084,38788,-1,2017,10,20
10454,2984,18389,31827,-1,2017,10,21
9314,2375,16123,27812,-1,2017,10,22
10937,3279,23095,37311,-1,2017,10,23
12508,4048,23146,39702,-1,2017,10,24
11508,3270,20683,35461,-1,2017,10,25
10247,2763,18744,31754,-1,2017,10,26
9189,2411,17843,29443,-1,2017,10,27
5246,1411,10142,16799,-1,2017,10,28
0,0,0,0,-1,2017,10,29
0,0,0,0,-1,2017,10,30
0,0,0,0,-1,2017,10,31
