Pos,Neg,Neu,Total,Price,Year,Month,Day
5499,1788,10456,17743,6925.4,2018,4,1
0,0,0,0,6816.6,2018,4,2
0,0,0,0,7053.3,2018,4,3
0,0,0,0,7405.6,2018,4,4
0,0,0,0,6785.9,2018,4,5
11991,5003,23292,40286,6769.0,2018,4,6
0,0,0,0,6610.0,2018,4,7
0,0,0,0,6892.6,2018,4,8
0,0,0,0,7023.9,2018,4,9
13226,4389,24298,41913,6770.0,2018,4,10
12331,4257,24188,40776,6837.1,2018,4,11
14587,5127,26238,45952,6943.1,2018,4,12
14134,4505,24563,43202,7912.0,2018,4,13
10012,3236,19505,32753,7886.9,2018,4,14
10693,2961,20031,33685,8003.0,2018,4,15
12231,3522,23846,39599,8357.5,2018,4,16
12804,3657,23558,40019,8056.2,2018,4,17
12674,4078,25810,42562,7888.9,2018,4,18
0,0,0,0,8171.0,2018,4,19
12742,4223,23087,40052,8273.0,2018,4,20
10984,3022,20444,34450,8865.4,2018,4,21
11048,2860,20639,34547,8912.5,2018,4,22
12591,4045,24579,41215,8791.4,2018,4,23
15053,5427,26121,46601,8940.0,2018,4,24
0,0,0,0,9646.8,2018,4,25
12018,3516,21912,37446,8868.4,2018,4,26
10916,3559,20029,34504,9269.9,2018,4,27
8286,2740,16857,27883,8920.1,2018,4,28
8148,3255,15693,27096,9345.7,2018,4,29
0,0,0,0,9400.0,2018,4,30
