Pos,Neg,Neu,Total,Price,Year,Month,Day
203,72,278,553,-1,2018,12,1
0,0,0,0,-1,2018,12,2
0,0,0,0,-1,2018,12,3
0,0,0,0,-1,2018,12,4
0,0,0,0,-1,2018,12,5
9478,3023,14369,26870,-1,2018,12,6
0,0,0,0,-1,2018,12,7
0,0,0,0,-1,2018,12,8
0,0,0,0,-1,2018,12,9
9100,2531,12616,24247,-1,2018,12,10
0,0,0,0,-1,2018,12,11
9147,2558,13549,25254,-1,2018,12,12
9239,2809,13982,26030,-1,2018,12,13
7839,2376,11816,22031,-1,2018,12,14
7612,2267,10850,20729,-1,2018,12,15
6391,1773,9324,17488,-1,2018,12,16
10459,2994,14575,28028,-1,2018,12,17
9380,2773,15071,27224,-1,2018,12,18
0,0,0,0,-1,2018,12,19
10313,2770,15127,28210,-1,2018,12,20
9112,2376,13760,25248,-1,2018,12,21
6753,2027,11500,20280,-1,2018,12,22
7078,1730,10326,19134,-1,2018,12,23
7906,2197,12892,22995,-1,2018,12,24
6471,1998,11354,19823,-1,2018,12,25
6863,2316,12073,21252,-1,2018,12,26
8073,2158,13449,23680,-1,2018,12,27
8037,2276,13601,23914,-1,2018,12,28
7050,1960,11233,20243,-1,2018,12,29
0,0,0,0,-1,2018,12,30
0,0,0,0,-1,2018,12,31
