Pos,Neg,Neu,Total,Price,Year,Month,Day
9484,2394,16532,28410,4718.3,2017,9,1
0,0,0,0,4907.7,2017,9,2
6801,1435,12281,20517,4532.3,2017,9,3
0,0,0,0,4598.5,2017,9,4
8477,2988,19100,30565,4205.0,2017,9,5
8303,2378,17589,28270,4375.0,2017,9,6
7239,1846,16275,25360,4595.8,2017,9,7
7768,3632,18786,30186,4613.7,2017,9,8
5504,1863,12897,20264,4304.0,2017,9,9
0,0,0,0,4315.9,2017,9,10
7335,2680,17759,27774,4233.9,2017,9,11
8586,4284,21709,34579,4198.7,2017,9,12
10627,4402,26962,41991,4149.4,2017,9,13
11004,4379,26618,42001,3849.7,2017,9,14
11510,4156,28755,44421,3235.3,2017,9,15
8019,2346,18280,28645,3697.1,2017,9,16
6980,2205,15221,24406,3681.5,2017,9,17
9541,3650,21311,34502,3666.6,2017,9,18
9187,3242,22024,34453,4084.4,2017,9,19
8489,3499,18299,30287,3892.2,2017,9,20
7516,3460,17788,28764,3872.4,2017,9,21
8385,2981,17646,29012,3596.7,2017,9,22
2473,892,5134,8499,3602.3,2017,9,23
3359,905,7378,11642,3779.6,2017,9,24
6896,1762,16638,25296,3654.7,2017,9,25
7342,2124,17677,27143,3930.1,2017,9,26
9221,2606,18729,30556,3881.5,2017,9,27
6623,2018,13604,22245,4209.7,2017,9,28
0,0,0,0,4190.0,2017,9,29
0,0,0,0,4168.0,2017,9,30
