Pos,Neg,Neu,Total,Price,Year,Month,Day
8707,3565,22511,34783,2854.3,2017,8,1
0,0,0,0,2731.3,2017,8,2
6370,3211,17518,27099,2702.0,2017,8,3
0,0,0,0,2790.3,2017,8,4
8080,2369,14295,24744,2860.0,2017,8,5
5128,1738,11202,18068,3252.3,2017,8,6
6212,1223,11192,18627,3232.1,2017,8,7
1813,623,3756,6192,3396.0,2017,8,8
5504,1361,12261,19126,3415.0,2017,8,9
0,0,0,0,3340.4,2017,8,10
6003,1719,12313,20035,3405.0,2017,8,11
3624,851,7781,12256,3643.4,2017,8,12
1819,740,4019,6578,3866.2,2017,8,13
7752,2365,15460,25577,4061.6,2017,8,14
6888,2270,14146,23304,4320.8,2017,8,15
7644,2219,17261,27124,4151.8,2017,8,16
3330,1239,6630,11199,4386.4,2017,8,17
2929,880,6099,9908,4263.0,2017,8,18
4772,1444,11062,17278,4090.1,2017,8,19
6354,1786,12704,20844,4145.0,2017,8,20
6308,1696,14722,22726,4063.1,2017,8,21
6180,1530,13390,21100,3998.2,2017,8,22
6899,1856,16401,25156,4081.9,2017,8,23
7800,2263,17142,27205,4130.2,2017,8,24
8359,2111,15519,25989,4322.1,2017,8,25
6191,1455,11473,19119,4351.5,2017,8,26
5991,1298,11302,18591,4340.4,2017,8,27
7217,2006,13900,23123,4332.8,2017,8,28
0,0,0,0,4385.1,2017,8,29
0,0,0,0,4587.1,2017,8,30
0,0,0,0,4568.0,2017,8,31
