Pos,Neg,Neu,Total,Price,Year,Month,Day
13881,3374,23599,40854,-1,2017,11,1
0,0,0,0,-1,2017,11,2
12437,3485,23400,39322,-1,2017,11,3
0,0,0,0,-1,2017,11,4
9877,2312,17947,30136,-1,2017,11,5
12303,2814,21215,36332,-1,2017,11,6
11663,3067,20960,35690,-1,2017,11,7
14259,6434,25006,45699,-1,2017,11,8
12467,4503,23075,40045,-1,2017,11,9
0,0,0,0,-1,2017,11,10
10537,3657,19802,33996,-1,2017,11,11
12084,4449,22034,38567,-1,2017,11,12
14327,4780,26668,45775,-1,2017,11,13
12955,4228,23249,40432,-1,2017,11,14
8594,2845,14255,25694,-1,2017,11,15
5873,1405,9512,16790,-1,2017,11,16
15453,4409,24415,44277,-1,2017,11,17
11077,2508,17558,31143,-1,2017,11,18
870,216,1418,2504,-1,2017,11,19
17170,4213,27177,48560,-1,2017,11,20
15280,3914,29104,48298,-1,2017,11,21
16204,3596,30284,50084,-1,2017,11,22
11053,2421,18723,32197,-1,2017,11,23
13969,3696,22673,40338,-1,2017,11,24
13125,2950,19096,35171,-1,2017,11,25
17377,4638,27425,49440,-1,2017,11,26
24945,6577,39301,70823,-1,2017,11,27
0,0,0,0,-1,2017,11,28
0,0,0,0,-1,2017,11,29
0,0,0,0,-1,2017,11,30
