Pos,Neg,Neu,Total,Price,Year,Month,Day
3899,1358,7377,12634,1081.5,2017,4,1
3762,1142,7535,12439,1093.5,2017,4,2
5160,1633,9120,15913,1107.5,2017,4,3
0,0,0,0,1150.1,2017,4,4
4840,1427,9673,15940,1145.8,2017,4,5
4318,1352,9522,15192,1140.4,2017,4,6
3950,1271,9182,14403,1191.5,2017,4,7
3606,1396,7179,12181,1196.6,2017,4,8
3718,1145,7553,12416,1188.1,2017,4,9
0,0,0,0,1215.9,2017,4,10
4771,1582,10632,16985,1220.3,2017,4,11
4512,1682,9498,15692,1235.6,2017,4,12
4658,1945,9538,16141,1227.4,2017,4,13
3927,1334,8771,14032,1187.0,2017,4,14
3553,954,6837,11344,1206.8,2017,4,15
3560,985,6813,11358,1193.3,2017,4,16
4382,1283,8253,13918,1212.0,2017,4,17
4932,1155,9160,15247,1240.0,2017,4,18
4692,985,8248,13925,1265.4,2017,4,19
5121,1092,9562,15775,1260.5,2017,4,20
4825,1238,9197,15260,1308.5,2017,4,21
3742,1015,7412,12169,1327.1,2017,4,22
3747,767,7114,11628,1346.4,2017,4,23
4733,1548,8851,15132,1355.2,2017,4,24
4638,2009,9418,16065,1345.0,2017,4,25
4669,1678,9604,15951,1371.1,2017,4,26
5274,1493,9312,16079,1400.0,2017,4,27
5836,1301,8820,15957,1440.3,2017,4,28
0,0,0,0,1415.6,2017,4,29
0,0,0,0,1423.6,2017,4,30
