Pos,Neg,Neu,Total,Price,Year,Month,Day
7387,2463,13429,23279,6391.5,2018,7,1
0,0,0,0,6349.7,2018,7,2
0,0,0,0,6617.6,2018,7,3
0,0,0,0,6509.0,2018,7,4
0,0,0,0,6590.0,2018,7,5
8884,2774,16844,28502,6531.7,2018,7,6
0,0,0,0,6602.2,2018,7,7
0,0,0,0,6761.8,2018,7,8
0,0,0,0,6707.0,2018,7,9
0,0,0,0,6666.9,2018,7,10
8787,2822,16261,27870,6301.8,2018,7,11
9120,2582,16866,28568,6377.8,2018,7,12
8934,3332,16703,28969,6249.0,2018,7,13
7230,3000,13060,23290,6220.0,2018,7,14
7268,2094,12539,21901,6250.0,2018,7,15
9139,3045,17899,30083,6347.2,2018,7,16
0,0,0,0,6729.2,2018,7,17
11349,3397,18949,33695,7319.8,2018,7,18
0,0,0,0,7379.4,2018,7,19
1130,407,1847,3384,7473.5,2018,7,20
7995,2224,12771,22990,7333.1,2018,7,21
7608,2294,13193,23095,7403.4,2018,7,22
10345,3254,17151,30750,7397.6,2018,7,23
12935,4530,20163,37628,7718.9,2018,7,24
0,0,0,0,8390.0,2018,7,25
10530,4129,17121,31780,8178.4,2018,7,26
9566,4838,16086,30490,7939.0,2018,7,27
8546,2515,12403,23464,8188.0,2018,7,28
7559,2366,12438,22363,8235.6,2018,7,29
0,0,0,0,8221.0,2018,7,30
0,0,0,0,8179.5,2018,7,31
