Pos,Neg,Neu,Total,Price,Year,Month,Day
2022,583,3107,5712,-1,2018,10,1
0,0,0,0,-1,2018,10,2
0,0,0,0,-1,2018,10,3
0,0,0,0,-1,2018,10,4
0,0,0,0,-1,2018,10,5
7341,2755,11028,21124,-1,2018,10,6
0,0,0,0,-1,2018,10,7
0,0,0,0,-1,2018,10,8
0,0,0,0,-1,2018,10,9
9612,2941,14172,26725,-1,2018,10,10
9801,3736,15318,28855,-1,2018,10,11
8884,3046,12580,24510,-1,2018,10,12
7377,2411,9855,19643,-1,2018,10,13
7179,2276,10386,19841,-1,2018,10,14
10729,3227,15050,29006,-1,2018,10,15
9817,2440,14436,26693,-1,2018,10,16
8886,2660,13862,25408,-1,2018,10,17
8191,2786,14235,25212,-1,2018,10,18
0,0,0,0,-1,2018,10,19
6791,1922,10509,19222,-1,2018,10,20
6262,2484,9923,18669,-1,2018,10,21
8753,2395,13168,24316,-1,2018,10,22
9362,3295,15700,28357,-1,2018,10,23
9513,2813,13828,26154,-1,2018,10,24
8701,2648,13663,25012,-1,2018,10,25
9016,2419,13582,25017,-1,2018,10,26
5215,1536,7830,14581,-1,2018,10,27
6832,2074,9535,18441,-1,2018,10,28
8957,2948,14373,26278,-1,2018,10,29
0,0,0,0,-1,2018,10,30
0,0,0,0,-1,2018,10,31
