Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume USD
2020-04-29,TRXUSD,0.01569,0.01569,0.01517,0.01555,26733.39,408.64
2020-04-28,TRXUSD,0.01449,0.01581,0.0144,0.01569,192386.74,2986.53
2020-04-27,TRXUSD,0.01402,0.0149,0.01402,0.01449,55141.61,812.15
2020-04-26,TRXUSD,0.01439,0.01468,0.01351,0.01402,130891.63,1879.65
2020-04-25,TRXUSD,0.01399,0.0145,0.01363,0.01439,102079.86,1441.94
2020-04-24,TRXUSD,0.0139,0.0146,0.01319,0.01399,25760.9,359.63
2020-04-23,TRXUSD,0.013,0.0139,0.013,0.0139,138033.41,1831.56
2020-04-22,TRXUSD,0.01297,0.0132,0.01253,0.013,47649.99,620.25
2020-04-21,TRXUSD,0.01279,0.01306,0.0117,0.01297,132403.8,1691.96
2020-04-20,TRXUSD,0.0134,0.01348,0.01271,0.01279,69106.42,905.92
2020-04-19,TRXUSD,0.01339,0.01359,0.0132,0.0134,60890.49,817.44
2020-04-18,TRXUSD,0.0132,0.0137,0.0131,0.01339,95156.46,1272.89
2020-04-17,TRXUSD,0.01332,0.01336,0.01301,0.0132,63744.97,841.74
2020-04-16,TRXUSD,0.01287,0.0137,0.01272,0.01332,113479.18,1506.58
2020-04-15,TRXUSD,0.01295,0.0137,0.01279,0.01287,90600.59,1200.78
2020-04-14,TRXUSD,0.0138,0.0139,0.01281,0.01295,88153.3,1169.52
2020-04-13,TRXUSD,0.01354,0.014,0.0127,0.0138,387658.14,5207.85
2020-04-12,TRXUSD,0.01311,0.01366,0.0127,0.01354,95214.06,1250.75
2020-04-11,TRXUSD,0.01321,0.01365,0.01271,0.01311,203214.6,2682.32
2020-04-10,TRXUSD,0.01407,0.01407,0.0127,0.01321,239327.91,3144.07
2020-04-09,TRXUSD,0.01403,0.01439,0.01355,0.01407,163470.05,2287.39
2020-04-08,TRXUSD,0.01358,0.0141,0.01355,0.01403,73655.36,1016.84
2020-04-07,TRXUSD,0.0136,0.0141,0.0135,0.01358,117863.62,1631.85
2020-04-06,TRXUSD,0.01289,0.0137,0.01289,0.0136,35761.81,482.22
2020-04-05,TRXUSD,0.01249,0.01315,0.01216,0.01289,67683.18,857.72
2020-04-04,TRXUSD,0.01239,0.0128,0.01152,0.01249,254297.02,3139.57
2020-04-03,TRXUSD,0.0123,0.0125,0.01206,0.01239,90304.56,1110.17
2020-04-02,TRXUSD,0.01209,0.0127,0.01173,0.0123,141203.43,1732.05
2020-04-01,TRXUSD,0.01232,0.01245,0.01152,0.01209,164034.78,2004.09
2020-03-31,TRXUSD,0.01238,0.0125,0.01184,0.01232,111539.61,1366.92
2020-03-30,TRXUSD,0.01137,0.01238,0.0112,0.01238,134156.47,1605.35
2020-03-29,TRXUSD,0.01241,0.01241,0.01117,0.01137,301504.79,3559.09
2020-03-28,TRXUSD,0.01219,0.01241,0.01116,0.01241,107028.01,1245.74
2020-03-27,TRXUSD,0.01238,0.0128,0.01201,0.01219,63846.79,781.33
2020-03-26,TRXUSD,0.01189,0.0125,0.01168,0.01238,101513.13,1231.61
2020-03-25,TRXUSD,0.01193,0.01203,0.01163,0.01189,16070.83,191.4
2020-03-24,TRXUSD,0.01202,0.0128,0.0115,0.01193,178565.75,2177.5
2020-03-23,TRXUSD,0.01126,0.0128,0.01059,0.01202,206731.58,2370.04
2020-03-22,TRXUSD,0.01209,0.01289,0.011,0.01126,293691.08,3513.59
2020-03-21,TRXUSD,0.01145,0.01377,0.01079,0.01209,505707.41,6011.7
2020-03-20,TRXUSD,0.01259,0.01394,0.0112,0.01145,180104.18,2226.63
2020-03-19,TRXUSD,0.01081,0.01391,0.01071,0.01259,177098.3,2103.17
2020-03-18,TRXUSD,0.01077,0.0115,0.01037,0.01081,187339.41,2025.17
2020-03-17,TRXUSD,0.01007,0.012,0.01007,0.01077,262878.08,2807.34
2020-03-16,TRXUSD,0.01104,0.01116,0.009524,0.01007,157003.38,1628.96
2020-03-15,TRXUSD,0.01106,0.012,0.01086,0.01104,128141.44,1448.88
2020-03-14,TRXUSD,0.0111,0.0129,0.01105,0.01106,97749.17,1118.01
2020-03-13,TRXUSD,0.011,0.01375,0.0105,0.0111,102174.27,1180.57
2020-03-12,TRXUSD,0.01556,0.01556,0.011,0.011,154272.23,1984.43
2020-03-11,TRXUSD,0.0159,0.01609,0.01534,0.01556,75112.6,1175.21
2020-03-10,TRXUSD,0.01541,0.0163,0.01518,0.0159,25395.72,399.61
2020-03-09,TRXUSD,0.01598,0.017,0.01501,0.01541,114174.31,1799.32
2020-03-08,TRXUSD,0.01741,0.01807,0.01598,0.01598,96455.47,1666.67
2020-03-07,TRXUSD,0.01836,0.02,0.0171,0.01741,83506.68,1556.57
2020-03-06,TRXUSD,0.01837,0.019,0.0183,0.01836,16558.3,308.67
2020-03-05,TRXUSD,0.01797,0.019,0.01797,0.01837,17531.63,321.93
2020-03-04,TRXUSD,0.01798,0.01835,0.0175,0.01797,39966.91,710.91
2020-03-03,TRXUSD,0.01856,0.01856,0.01712,0.01798,119549.95,2132.47
2020-03-02,TRXUSD,0.0173,0.0188,0.01698,0.01856,33682.21,605.47
2020-03-01,TRXUSD,0.01722,0.01763,0.01695,0.0173,51349.35,889.96
2020-02-29,TRXUSD,0.01792,0.01792,0.0172,0.01722,55428.82,970.64
2020-02-28,TRXUSD,0.0177,0.01812,0.01697,0.01792,74063.8,1291.13
2020-02-27,TRXUSD,0.01715,0.0189,0.01684,0.0177,222866.05,3972.46
2020-02-26,TRXUSD,0.0195,0.0195,0.0167,0.01715,232932.1,4211.44
2020-02-25,TRXUSD,0.02018,0.02112,0.01926,0.0195,139106.86,2864.57
2020-02-24,TRXUSD,0.02082,0.02178,0.01967,0.02018,132244.68,2737.3
2020-02-23,TRXUSD,0.02057,0.02215,0.02014,0.02082,170628.99,3579.84
2020-02-22,TRXUSD,0.02022,0.02084,0.01998,0.02057,137206.21,2764.35
2020-02-21,TRXUSD,0.02049,0.02094,0.02009,0.02022,58350.0,1188.57
2020-02-20,TRXUSD,0.02083,0.02247,0.02,0.02049,79987.53,1645.52
2020-02-19,TRXUSD,0.02221,0.02341,0.02083,0.02083,64332.19,1434.49
2020-02-18,TRXUSD,0.02204,0.0233,0.02101,0.02221,116295.81,2578.34
2020-02-17,TRXUSD,0.02333,0.02333,0.02028,0.02204,105561.04,2244.68
2020-02-16,TRXUSD,0.02338,0.02462,0.02101,0.02333,234804.95,5387.67
2020-02-15,TRXUSD,0.02582,0.02652,0.02302,0.02338,130216.29,3207.7
2020-02-14,TRXUSD,0.02401,0.02648,0.02365,0.02582,329402.19,8340.53
2020-02-13,TRXUSD,0.0238,0.02569,0.02301,0.02401,232479.72,5636.82
2020-02-12,TRXUSD,0.0225,0.02455,0.02241,0.0238,127403.71,3004.51
2020-02-11,TRXUSD,0.0223,0.02281,0.0214,0.0225,169095.82,3693.07
2020-02-10,TRXUSD,0.02245,0.02246,0.021,0.0223,137181.49,2986.97
2020-02-09,TRXUSD,0.02228,0.02351,0.02161,0.02245,104824.49,2332.31
2020-02-08,TRXUSD,0.02157,0.023,0.02113,0.02228,89067.29,1946.99
2020-02-07,TRXUSD,0.02215,0.02371,0.0215,0.02157,79682.36,1792.75
2020-02-06,TRXUSD,0.02001,0.0229,0.02001,0.02215,234810.69,5066.3
2020-02-05,TRXUSD,0.0195,0.02053,0.01904,0.02001,182695.77,3630.94
2020-02-04,TRXUSD,0.01939,0.0197,0.01841,0.0195,44021.44,843.43
2020-02-03,TRXUSD,0.01915,0.0195,0.01909,0.01939,96726.71,1849.53
2020-02-02,TRXUSD,0.01906,0.0197,0.01866,0.01915,60889.1,1174.07
2020-02-01,TRXUSD,0.01875,0.01914,0.01851,0.01906,14584.84,274.55
2020-01-31,TRXUSD,0.0194,0.01955,0.01834,0.01875,66481.28,1265.2
2020-01-30,TRXUSD,0.01907,0.01944,0.01831,0.0194,144570.63,2771.45
2020-01-29,TRXUSD,0.0184,0.01932,0.0182,0.01907,97153.73,1843.64
2020-01-28,TRXUSD,0.0173,0.0186,0.01667,0.0184,265178.87,4735.13
2020-01-27,TRXUSD,0.0169,0.01759,0.0165,0.0173,185430.17,3159.77
2020-01-26,TRXUSD,0.01657,0.017,0.01618,0.0169,11266.5,185.65
2020-01-25,TRXUSD,0.01641,0.01702,0.01602,0.01657,46384.63,757.98
2020-01-24,TRXUSD,0.01666,0.01794,0.01602,0.01641,58909.86,979.68
2020-01-23,TRXUSD,0.01754,0.01754,0.0163,0.01666,21974.6,368.85
2020-01-22,TRXUSD,0.0171,0.01826,0.01674,0.01754,35775.75,615.33
2020-01-21,TRXUSD,0.0168,0.01731,0.0167,0.0171,53660.33,909.38
2020-01-20,TRXUSD,0.01622,0.0174,0.01622,0.0168,26967.69,455.51
2020-01-19,TRXUSD,0.01741,0.0187,0.016,0.01622,105463.49,1788.11
2020-01-18,TRXUSD,0.0178,0.01823,0.01567,0.01741,43845.93,763.23
2020-01-17,TRXUSD,0.01718,0.01877,0.017,0.0178,80842.56,1414.22
2020-01-16,TRXUSD,0.01769,0.01769,0.01631,0.01718,36490.92,612.28
2020-01-15,TRXUSD,0.01634,0.01805,0.01634,0.01769,78776.37,1362.86
2020-01-14,TRXUSD,0.01527,0.01714,0.01515,0.01634,102230.88,1647.46
2020-01-13,TRXUSD,0.01507,0.01527,0.01481,0.01527,11367.47,170.18
2020-01-12,TRXUSD,0.01487,0.01528,0.01478,0.01507,31890.06,478.75
2020-01-11,TRXUSD,0.01488,0.01527,0.01464,0.01487,9381.73,141.31
2020-01-10,TRXUSD,0.0143,0.0156,0.0141,0.01488,44283.54,650.01
2020-01-09,TRXUSD,0.01405,0.01484,0.01403,0.0143,38383.79,547.59
2020-01-08,TRXUSD,0.0145,0.01491,0.01401,0.01405,35240.44,514.06
2020-01-07,TRXUSD,0.01456,0.01494,0.0142,0.0145,44954.28,655.74
2020-01-06,TRXUSD,0.0138,0.01456,0.01364,0.01456,53067.46,752.14
2020-01-05,TRXUSD,0.0134,0.01398,0.0134,0.0138,20172.06,274.79
2020-01-04,TRXUSD,0.01368,0.01386,0.0133,0.0134,8633.91,116.46
2020-01-03,TRXUSD,0.01319,0.01399,0.01288,0.01368,37465.5,496.89
2020-01-02,TRXUSD,0.01393,0.01393,0.01319,0.01319,12934.99,172.23
2020-01-01,TRXUSD,0.0137,0.01437,0.01332,0.01393,26383.8,358.39
2019-12-31,TRXUSD,0.0134,0.01401,0.01319,0.0137,48882.36,667.3
2019-12-30,TRXUSD,0.0144,0.0144,0.0134,0.0134,26957.71,366.94
2019-12-29,TRXUSD,0.01384,0.01447,0.01361,0.0144,26272.39,370.5
2019-12-28,TRXUSD,0.01357,0.01407,0.0135,0.01384,46350.19,631.91
2019-12-27,TRXUSD,0.01375,0.01415,0.0135,0.01357,25066.29,347.21
2019-12-26,TRXUSD,0.0135,0.01392,0.0134,0.01375,22675.24,308.72
