Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume RUR
2019-12-16,EOSRUR,112.42,118,108.5,115.34,152.85,17507.82
2019-12-15,EOSRUR,118,118,112.42,112.42,12.38,1423.24
2019-12-14,EOSRUR,120.6,120.6,115,118,90.22,10387.97
2019-12-13,EOSRUR,115,120.6,115,120.6,59.0,7099.66
2019-12-12,EOSRUR,121.5,123.9,115,115,103.83,12512.0
2019-12-11,EOSRUR,122,126.61,121.5,121.5,22.45,2773.63
2019-12-10,EOSRUR,131.9,131.9,122,122,13.61,1712.56
2019-12-09,EOSRUR,129.56,131.9,129.56,131.9,18.0,2373.68
2019-12-08,EOSRUR,122,129.56,121.5,129.56,112.9,13846.36
2019-12-07,EOSRUR,134.84,141.59,122,122,42.25,5259.62
2019-12-06,EOSRUR,134.3,160,121.1,134.84,47.03,6548.52
2019-12-05,EOSRUR,130,134.3,125.72,134.3,66.94,8694.01
2019-12-04,EOSRUR,133.96,133.96,121,130,32.71,4154.65
2019-12-03,EOSRUR,137.38,137.38,127.02,133.96,3.946,516.76
2019-12-02,EOSRUR,136,140.53,125.51,137.38,92.07,12606.73
2019-12-01,EOSRUR,148.8,148.8,126,136,58.69,8063.98
2019-11-30,EOSRUR,154.85,155,140,148.8,9.232,1315.16
2019-11-29,EOSRUR,154.86,155,141,154.85,98.24,14288.73
2019-11-28,EOSRUR,135.45,155,135.45,154.86,24.66,3649.88
2019-11-27,EOSRUR,133.62,148.85,133.62,135.45,11.37,1610.34
2019-11-26,EOSRUR,148.76,148.76,133.62,133.62,73.72,10173.87
2019-11-25,EOSRUR,135.12,149,132.06,148.76,132.3,18335.91
2019-11-24,EOSRUR,153.2,153.2,132.4,135.12,226.53,32397.08
2019-11-23,EOSRUR,140.83,153.2,131.13,153.2,56.78,8497.55
2019-11-22,EOSRUR,150,159.11,125,140.83,45.94,6568.72
2019-11-21,EOSRUR,156,159.8,150,150,86.36,13326.82
2019-11-20,EOSRUR,156,167.35,156,156,13.46,2247.96
2019-11-19,EOSRUR,173.75,173.75,156,156,75.66,12138.94
2019-11-18,EOSRUR,170,174.83,160,173.75,30.26,5240.12
2019-11-17,EOSRUR,167,170,155.14,170,54.82,9035.77
2019-11-16,EOSRUR,176.38,176.38,159.98,167,96.26,15753.82
2019-11-15,EOSRUR,169,176.38,164,176.38,6.233,1053.04
2019-11-14,EOSRUR,168.49,169,163.41,169,79.02,13114.59
2019-11-13,EOSRUR,165.02,168.49,161.41,168.49,53.53,8797.82
2019-11-12,EOSRUR,172.92,172.92,161.41,165.02,165.07,26859.68
2019-11-11,EOSRUR,175,175,166.14,172.92,75.47,12806.83
2019-11-10,EOSRUR,170,177.63,169,175,107.5,18639.92
2019-11-09,EOSRUR,167.06,170,167.06,170,27.21,4620.33
2019-11-08,EOSRUR,169.78,170.87,167.06,167.06,2.022,340.75
2019-11-07,EOSRUR,178,180.5,166.5,169.78,98.54,17193.94
2019-11-06,EOSRUR,184.6,188.77,175,178,141.87,25313.39
2019-11-05,EOSRUR,183.28,185.37,175.58,184.6,40.77,7459.76
2019-11-04,EOSRUR,181.7,183.93,175.5,183.28,83.09,14945.86
2019-11-03,EOSRUR,184.79,190,181.7,181.7,144.66,26709.87
2019-11-02,EOSRUR,175.5,184.98,175.5,184.79,118.29,21457.26
2019-11-01,EOSRUR,182.5,183.83,171.5,175.5,24.09,4228.46
2019-10-31,EOSRUR,183.54,183.54,166.5,182.5,81.12,13799.54
2019-10-30,EOSRUR,179.84,183.95,164.48,183.54,29.63,5333.58
2019-10-29,EOSRUR,180,180,163.5,179.84,124.63,21058.64
2019-10-28,EOSRUR,165,180,164,180,8.016,1339.83
2019-10-27,EOSRUR,184.57,184.57,165,165,7.372,1223.3
2019-10-26,EOSRUR,170.19,184.57,163.41,184.57,34.72,5969.15
2019-10-25,EOSRUR,165,170.19,152.13,170.19,74.0,12266.84
2019-10-24,EOSRUR,176.26,176.26,154,165,5.463,846.77
2019-10-23,EOSRUR,178.7,178.7,150,176.26,48.64,8039.8
2019-10-22,EOSRUR,157.85,179.67,153.18,178.7,169.48,27654.42
2019-10-21,EOSRUR,157.85,166.89,157.85,157.85,48.93,7910.48
2019-10-20,EOSRUR,176.16,176.16,157.85,157.85,23.6,3805.32
2019-10-19,EOSRUR,177.41,177.41,166.2,176.16,5.963,1003.61
2019-10-18,EOSRUR,165.86,178,165.86,177.41,16.4,2837.09
2019-10-17,EOSRUR,175.2,179.68,165.44,165.86,10.5,1803.38
2019-10-16,EOSRUR,179.77,179.77,175.2,175.2,41.24,7231.73
2019-10-15,EOSRUR,176,179.81,175.2,179.77,0.2721,48.14
2019-10-14,EOSRUR,181.61,184.89,176,176,81.8,14774.4
2019-10-13,EOSRUR,180,184.9,175.2,181.61,21.24,3904.46
2019-10-12,EOSRUR,183.78,192,175.2,180,23.09,4166.06
2019-10-11,EOSRUR,182.1,183.78,180,183.78,39.74,7241.13
2019-10-10,EOSRUR,193.38,193.38,182.09,182.1,31.39,5727.83
2019-10-09,EOSRUR,186,193.38,180.29,193.38,8.988,1710.86
2019-10-08,EOSRUR,178,186,174.91,186,34.43,6216.21
2019-10-07,EOSRUR,185.6,189.99,176.6,178,104.58,19308.99
2019-10-06,EOSRUR,183.33,185.97,176.6,185.6,4.916,886.93
2019-10-05,EOSRUR,184.77,186,183.33,183.33,25.09,4635.53
2019-10-04,EOSRUR,176.3,186.88,176.3,184.77,1.526,279.78
2019-10-03,EOSRUR,180,193.57,176,176.3,124.54,23488.3
2019-10-02,EOSRUR,177.05,222,177.05,180,27.56,5089.51
2019-10-01,EOSRUR,172.25,222,172.25,177.05,64.36,12203.18
2019-09-30,EOSRUR,179.9,179.9,171.35,172.25,30.4,5324.61
2019-09-29,EOSRUR,172.83,179.9,171,179.9,6.107,1058.49
2019-09-28,EOSRUR,180,181,172.83,172.83,41.09,7389.43
2019-09-27,EOSRUR,165,193.28,165,180,25.16,4300.93
2019-09-26,EOSRUR,171,180.55,165,165,87.3,15131.86
2019-09-25,EOSRUR,170.74,177.53,157.82,171,140.59,23421.38
2019-09-24,EOSRUR,220.38,224.63,163.56,170.74,321.95,59423.2
2019-09-23,EOSRUR,237.85,237.85,207.61,220.38,46.21,9797.06
2019-09-22,EOSRUR,216.31,237.85,202.11,237.85,117.36,25332.27
2019-09-21,EOSRUR,221.25,226.22,216.24,216.31,74.73,16604.04
2019-09-20,EOSRUR,221.24,227.01,221.24,221.25,10.89,2410.22
2019-09-19,EOSRUR,221,228.74,215,221.24,154.19,33903.96
2019-09-18,EOSRUR,224.7,235.79,215.06,221,25.72,5756.69
2019-09-17,EOSRUR,211.24,224.7,211.24,224.7,135.8,30200.24
2019-09-16,EOSRUR,239,239,211.24,211.24,185.11,41289.57
2019-09-15,EOSRUR,227,239,216.55,239,833.04,186693.57
2019-09-14,EOSRUR,213,227.2,208.87,227,107.16,23435.78
2019-09-13,EOSRUR,213,224.87,213,213,9.744,2075.61
2019-09-12,EOSRUR,224.87,224.87,211.59,213,39.25,8571.92
2019-09-11,EOSRUR,224.73,225,211.18,224.87,39.11,8691.2
2019-09-10,EOSRUR,210.51,225,210.51,224.73,1.074,241.32
2019-09-09,EOSRUR,210,225,210,210.51,46.3,10090.69
2019-09-08,EOSRUR,209.92,216,205.05,210,22.7,4764.55
2019-09-07,EOSRUR,205,210,202,209.92,68.66,14233.08
2019-09-06,EOSRUR,209,214,205,205,73.35,15568.48
2019-09-05,EOSRUR,209.86,210,209,209,26.11,5461.18
2019-09-04,EOSRUR,222.75,222.75,209.01,209.86,74.82,16108.96
2019-09-03,EOSRUR,211.9,226,210.11,222.75,448.63,98426.3
2019-09-02,EOSRUR,206.47,211.9,201,211.9,150.94,30736.17
2019-09-01,EOSRUR,216.85,218.9,202.34,206.47,397.43,84638.99
2019-08-31,EOSRUR,208.29,216.85,205,216.85,40.08,8572.25
2019-08-30,EOSRUR,209.2,219.36,208.29,208.29,67.39,14143.06
2019-08-29,EOSRUR,219,219.36,209.19,209.2,11.1,2341.1
2019-08-28,EOSRUR,220.59,231.82,209.19,219,432.52,92850.71
2019-08-27,EOSRUR,232,232,220.59,220.59,5.245,1157.22
2019-08-26,EOSRUR,225.29,232,217.1,232,35.44,8006.61
2019-08-25,EOSRUR,222.62,225.29,222.62,225.29,18.39,4143.91
2019-08-24,EOSRUR,221.1,222.62,215.2,222.62,48.07,10666.08
2019-08-23,EOSRUR,223,228,221.1,221.1,43.9,9836.6
2019-08-22,EOSRUR,211.1,223,210,223,153.0,33545.02
2019-08-21,EOSRUR,230,230,211.1,211.1,88.24,19032.55
2019-08-20,EOSRUR,226,230,211.88,230,22.25,5016.04
2019-08-19,EOSRUR,219.03,233,215,226,49.83,11014.17
2019-08-18,EOSRUR,227.74,233,214.63,219.03,34.42,7752.83
2019-08-17,EOSRUR,243.83,243.83,225,227.74,10.0,2269.79
2019-08-16,EOSRUR,240.69,244.6,227,243.83,13.14,3013.53
2019-08-15,EOSRUR,230.88,247.27,226,240.69,48.34,11335.73
2019-08-14,EOSRUR,213.29,242.5,210,230.88,92.62,21107.44
2019-08-13,EOSRUR,234.24,236.86,212.43,213.29,164.09,35880.07
2019-08-12,EOSRUR,244.8,253,234.24,234.24,2.887,710.65
2019-08-11,EOSRUR,243.95,244.8,228.6,244.8,23.29,5666.91
2019-08-10,EOSRUR,237.31,248,207,243.95,71.36,17078.44
2019-08-09,EOSRUR,255,255,237,237.31,68.63,16703.91
2019-08-08,EOSRUR,258,258,241,255,51.19,12887.22
2019-08-07,EOSRUR,266.67,266.67,250,258,45.3,11609.33
2019-08-06,EOSRUR,276.62,276.62,251,266.67,96.65,24588.31
2019-08-05,EOSRUR,254.25,276.62,254.25,276.62,27.53,7518.54
2019-08-04,EOSRUR,254.25,254.25,254.25,254.25,4.0,1016.98
2019-08-03,EOSRUR,277.88,277.88,253.1,254.25,25.6,6591.08
2019-08-02,EOSRUR,258.25,277.88,249,277.88,126.04,32174.15
2019-08-01,EOSRUR,253,260,250.94,258.25,29.92,7719.19
2019-07-31,EOSRUR,241.09,275.07,241.09,253,21.05,5459.52
2019-07-30,EOSRUR,276.71,276.71,241,241.09,21.68,5387.41
2019-07-29,EOSRUR,255.32,278.35,242.54,276.71,133.09,33662.2
2019-07-28,EOSRUR,221.79,255.32,219.28,255.32,55.65,13655.63
2019-07-27,EOSRUR,216,255.04,202.55,221.79,476.16,112882.24
2019-07-26,EOSRUR,217,217,201,216,73.21,15149.14
2019-07-25,EOSRUR,211,223.87,206.5,217,451.87,97793.06
2019-07-24,EOSRUR,226.18,226.18,201,211,103.98,21875.31
2019-07-23,EOSRUR,220,242.7,206,226.18,155.56,32609.85
2019-07-22,EOSRUR,215.59,221.24,211.33,220,194.46,42837.33
2019-07-21,EOSRUR,244.95,244.95,215,215.59,482.82,107472.2
2019-07-20,EOSRUR,228,244.95,210.8,244.95,146.45,33440.44
2019-07-19,EOSRUR,215.1,229.01,210,228,80.46,17272.05
2019-07-18,EOSRUR,202.11,232,196.4,215.1,113.01,24239.62
2019-07-17,EOSRUR,240.09,248.76,145.1,202.11,670.59,142723.43
2019-07-16,EOSRUR,290.8,290.8,209.2,240.09,337.48,80955.61
2019-07-15,EOSRUR,273,293.55,262,290.8,58.79,16224.11
2019-07-14,EOSRUR,300,305,272,273,236.68,68986.18
2019-07-13,EOSRUR,302,310.11,300,300,74.36,22356.41
2019-07-12,EOSRUR,306.58,312.77,291.01,302,126.08,38110.85
2019-07-11,EOSRUR,329.1,339.45,300.54,306.58,224.83,72408.51
2019-07-10,EOSRUR,370,370,329.1,329.1,164.67,56730.16
2019-07-09,EOSRUR,368,370,347.33,370,97.68,34431.05
2019-07-08,EOSRUR,345,370,335.2,368,46.19,16193.47
2019-07-07,EOSRUR,346,355.3,335.2,345,23.94,8278.93
2019-07-06,EOSRUR,345.5,382.02,345.5,346,88.89,32680.17
2019-07-05,EOSRUR,373.28,376,345.5,345.5,40.12,14931.46
2019-07-04,EOSRUR,370,373.28,340,373.28,31.08,10868.47
2019-07-03,EOSRUR,336.42,377,336.11,370,42.02,15132.51
2019-07-02,EOSRUR,367.99,374,322.99,336.42,218.3,75554.33
2019-07-01,EOSRUR,335.09,367.99,307.5,367.99,217.0,70270.76
2019-06-30,EOSRUR,365.07,377.69,331,335.09,81.01,29076.53
2019-06-29,EOSRUR,373.43,373.43,350,365.07,224.05,80207.07
2019-06-28,EOSRUR,334.01,373.43,321,373.43,143.92,52335.99
2019-06-27,EOSRUR,365,390.8,315,334.01,799.38,288039.5
2019-06-26,EOSRUR,365,402,365,365,614.09,239732.48
2019-06-25,EOSRUR,380.05,398.13,330.29,365,371.72,142841.31
2019-06-24,EOSRUR,353,440,318,380.05,583.21,218104.83
2019-06-23,EOSRUR,379,384,349,353,191.99,69149.6
2019-06-22,EOSRUR,365,384.2,360,379,634.42,236254.56
2019-06-21,EOSRUR,374,384,365,365,75.73,28264.23
2019-06-20,EOSRUR,399.89,399.89,374,374,24.51,9230.78
2019-06-19,EOSRUR,384,399.89,374,399.89,12.06,4572.83
2019-06-18,EOSRUR,407.9,413,384,400,104.99,42079.07
2019-06-17,EOSRUR,382,408,382,407.9,64.35,25448.22
2019-06-16,EOSRUR,389.24,410,377,382,97.36,38800.28
2019-06-15,EOSRUR,364,389.24,364,389.24,120.18,45600.79
2019-06-14,EOSRUR,372,383,364,364,136.79,50224.84
2019-06-13,EOSRUR,372,389.24,372,372,45.99,17454.58
2019-06-12,EOSRUR,374,387,371.49,372,111.72,42885.9
2019-06-11,EOSRUR,391.29,391.29,371,374,87.32,32824.91
2019-06-10,EOSRUR,369,391.29,369,391.29,159.49,60231.5
2019-06-09,EOSRUR,384.98,385,369,369,3.056,1148.4
2019-06-08,EOSRUR,387.01,389,368.56,384.98,18.75,7130.04
2019-06-07,EOSRUR,378.88,391.27,356.11,387.01,119.37,44509.07
2019-06-06,EOSRUR,375,393.79,365,378.88,103.4,38811.3
2019-06-05,EOSRUR,404.87,404.87,370,375,155.22,58560.56
2019-06-04,EOSRUR,404.09,416.95,375,404.87,333.38,130118.15
2019-06-03,EOSRUR,464.8,464.8,403.77,404.09,257.2,111497.68
2019-06-02,EOSRUR,455,466.1,440.07,464.8,113.44,51677.79
2019-06-01,EOSRUR,433.8,500,433.8,455,336.39,158208.01
2019-05-31,EOSRUR,384.96,482,367.68,433.8,460.14,194997.62
2019-05-30,EOSRUR,394.26,410,363,384.96,317.06,122523.24
2019-05-29,EOSRUR,397,410,362,394.26,155.59,61072.72
2019-05-28,EOSRUR,369.05,400,350,397,347.73,131728.71
2019-05-27,EOSRUR,344,369.05,331.28,369.05,521.43,188107.22
2019-05-26,EOSRUR,342,344,323.31,344,159.31,54696.11
2019-05-25,EOSRUR,344,344,331,342,196.03,66901.55
2019-05-24,EOSRUR,344,344,326.24,344,149.84,51330.58
2019-05-23,EOSRUR,344.01,344.13,320,344,9.686,3201.93
2019-05-22,EOSRUR,330,348.4,320,344.01,152.76,51012.14
2019-05-21,EOSRUR,339.66,344.53,330,330,30.12,9975.29
2019-05-20,EOSRUR,325,355,325,339.66,29.84,10232.48
2019-05-19,EOSRUR,343.17,355,317.5,325,317.07,107947.39
2019-05-18,EOSRUR,341,350,306.46,343.17,307.2,105866.91
2019-05-17,EOSRUR,359,359,300,341,92.42,30141.66
2019-05-16,EOSRUR,370.88,378,340,359,408.65,146326.89
2019-05-15,EOSRUR,340,377,320.59,370.88,585.35,207450.23
2019-05-14,EOSRUR,331.21,355,319.07,340,530.65,178451.04
2019-05-13,EOSRUR,321.64,340,318.2,331.21,184.93,60538.67
2019-05-12,EOSRUR,313.58,348,313.58,321.64,428.66,145316.82
2019-05-11,EOSRUR,311,323.38,301.79,313.58,254.92,81009.75
2019-05-10,EOSRUR,317.97,319.08,299.98,311,50.76,15464.18
2019-05-09,EOSRUR,308.57,320,308.57,317.97,51.81,16183.72
2019-05-08,EOSRUR,297.6,309.13,288.57,308.57,1.452,428.26
2019-05-07,EOSRUR,288.37,310.91,287.33,297.6,14.83,4383.49
2019-05-06,EOSRUR,290,302,288.37,288.37,6.165,1787.31
2019-05-05,EOSRUR,289.95,302,286.52,290,129.48,37579.4
2019-05-04,EOSRUR,292,299.5,277.9,289.95,73.62,21216.97
2019-05-03,EOSRUR,269.54,292,269.54,292,18.74,5361.86
2019-05-02,EOSRUR,283.43,283.43,268.42,269.54,86.62,23540.39
2019-05-01,EOSRUR,273.43,291.84,273,283.43,10.34,2844.13
2019-04-30,EOSRUR,285,294.55,273,273.43,33.31,9408.42
2019-04-29,EOSRUR,295,295,285,285,10.09,2915.99
2019-04-28,EOSRUR,301.87,301.87,289.63,295,11.1,3228.3
2019-04-27,EOSRUR,289.19,302,289,301.87,14.13,4085.77
2019-04-26,EOSRUR,289.77,308,275,289.19,47.83,14035.03
2019-04-25,EOSRUR,320.11,320.11,282,289.77,10.73,3189.59
2019-04-24,EOSRUR,311.24,332,300,320.11,20.83,6471.36
2019-04-23,EOSRUR,316.48,335,311.24,311.24,59.41,19610.63
2019-04-22,EOSRUR,325,331.63,314.26,316.48,33.41,10747.52
2019-04-21,EOSRUR,334.62,334.62,311.34,325,53.89,17401.56
2019-04-20,EOSRUR,334.91,335.11,316.16,334.62,42.09,13693.78
2019-04-19,EOSRUR,320.23,335.15,310.11,334.91,140.08,45294.5
2019-04-18,EOSRUR,317,335.17,317,320.23,25.61,8315.16
2019-04-17,EOSRUR,335.17,335.17,317,317,55.24,17903.38
2019-04-16,EOSRUR,327,337.36,318.37,335.17,103.35,33684.87
2019-04-15,EOSRUR,322.3,347,322.3,327,228.16,77053.23
2019-04-14,EOSRUR,324,344,322.3,322.3,130.6,43078.16
2019-04-13,EOSRUR,343,344,323.7,324,75.38,25725.75
