Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2019-07-31,EOSUSD,4.169,4.2,3.966,4.02,286.61,1173.61
2019-07-30,EOSUSD,4.182,4.23,3.718,4.169,1329.08,5297.36
2019-07-29,EOSUSD,4.045,4.21,3.95,4.182,578.12,2368.36
2019-07-28,EOSUSD,3.856,4.115,3.55,4.045,333.01,1313.78
2019-07-27,EOSUSD,3.45,4.293,3.3,3.856,1399.55,5181.93
2019-07-26,EOSUSD,3.526,3.57,3.2,3.45,186.23,636.01
2019-07-25,EOSUSD,3.331,3.526,3.327,3.526,256.62,889.31
2019-07-24,EOSUSD,3.67,3.67,3.3,3.331,145.75,499.5
2019-07-23,EOSUSD,3.35,3.7,3.286,3.67,350.96,1192.97
2019-07-22,EOSUSD,3.5,3.689,3.35,3.35,185.09,652.57
2019-07-21,EOSUSD,3.623,3.9,3.5,3.5,249.2,914.21
2019-07-20,EOSUSD,3.561,3.9,3.385,3.623,751.58,2844.65
2019-07-19,EOSUSD,3.7,3.7,3.385,3.561,84.08,301.21
2019-07-18,EOSUSD,3.51,3.942,3.2,3.7,1540.62,5364.69
2019-07-17,EOSUSD,3.582,3.894,2.372,3.51,2205.22,6872.37
2019-07-16,EOSUSD,4.52,4.561,3.15,3.582,743.53,2910.99
2019-07-15,EOSUSD,4.353,4.684,4.2,4.52,327.78,1429.72
2019-07-14,EOSUSD,4.843,4.843,4.353,4.353,234.16,1067.46
2019-07-13,EOSUSD,4.775,4.876,4.763,4.843,74.6,358.53
2019-07-12,EOSUSD,4.86,5.036,4.63,4.775,348.06,1699.48
2019-07-11,EOSUSD,5.275,5.35,4.83,4.86,633.3,3178.31
2019-07-10,EOSUSD,5.611,5.84,5.27,5.275,275.44,1528.95
2019-07-09,EOSUSD,5.745,5.9,5.55,5.611,365.48,2107.38
2019-07-08,EOSUSD,5.55,5.9,5.425,5.745,532.45,3027.96
2019-07-07,EOSUSD,5.55,5.64,5.361,5.55,172.55,953.83
2019-07-06,EOSUSD,5.655,5.85,5.55,5.55,220.45,1248.25
2019-07-05,EOSUSD,5.622,5.9,5.53,5.655,293.67,1672.7
2019-07-04,EOSUSD,5.958,5.966,5.52,5.622,410.9,2334.52
2019-07-03,EOSUSD,5.75,5.978,5.535,5.958,241.68,1411.34
2019-07-02,EOSUSD,5.727,5.98,5.279,5.75,1077.16,6054.65
2019-07-01,EOSUSD,5.321,5.81,4.9,5.727,1452.73,7800.79
2019-06-30,EOSUSD,5.966,6.084,5.321,5.321,786.91,4558.0
2019-06-29,EOSUSD,5.8,5.966,5.737,5.966,263.8,1565.55
2019-06-28,EOSUSD,5.619,5.991,5.21,5.8,292.93,1688.17
2019-06-27,EOSUSD,5.93,5.999,5.199,5.619,831.33,4672.77
2019-06-26,EOSUSD,5.91,6.4,5.829,5.93,1767.72,10865.43
2019-06-25,EOSUSD,5.6,6.25,5.481,5.91,704.58,4258.76
2019-06-24,EOSUSD,5.88,7.137,5,5.6,2556.73,15753.72
2019-06-23,EOSUSD,5.99,6.15,5.6,5.88,828.43,4792.92
2019-06-22,EOSUSD,5.91,6.19,5.67,5.99,763.3,4566.91
2019-06-21,EOSUSD,5.9,6.19,5.81,5.91,219.76,1309.45
2019-06-20,EOSUSD,6.14,6.14,5.9,5.9,209.89,1260.78
2019-06-19,EOSUSD,6.25,6.25,6,6.14,426.8,2606.45
2019-06-18,EOSUSD,6.5,6.5,6.1,6.25,146.85,921.14
2019-06-17,EOSUSD,6.3,6.5,6.001,6.41,640.87,4020.69
2019-06-16,EOSUSD,6.06,6.34,5.94,6.3,341.56,2123.9
2019-06-15,EOSUSD,5.925,6.18,5.9,6.06,203.51,1227.26
2019-06-14,EOSUSD,6.192,6.25,5.9,5.925,685.11,4120.48
2019-06-13,EOSUSD,6.059,6.209,5.922,6.192,269.86,1638.71
2019-06-12,EOSUSD,6.04,6.214,5.8,6.059,532.2,3211.38
2019-06-11,EOSUSD,6.064,6.154,5.9,6.04,343.45,2065.12
2019-06-10,EOSUSD,5.7,6.365,5.7,6.064,542.63,3249.93
2019-06-09,EOSUSD,5.84,6.035,5.7,5.7,258.17,1496.42
2019-06-08,EOSUSD,5.9,6.075,5.8,5.84,112.7,664.78
2019-06-07,EOSUSD,5.96,6.187,5.73,5.9,310.79,1872.2
2019-06-06,EOSUSD,6.006,6.147,5.72,5.96,387.2,2340.71
2019-06-05,EOSUSD,5.861,6.15,5.7,6.006,169.08,1013.22
2019-06-04,EOSUSD,6.3,6.485,5.861,5.861,1237.62,7615.45
2019-06-03,EOSUSD,7.15,7.22,6.21,6.3,786.37,5311.46
2019-06-02,EOSUSD,7.011,7.26,6.906,7.15,470.81,3376.17
2019-06-01,EOSUSD,7.115,7.551,6.831,7.011,1342.25,9729.46
2019-05-31,EOSUSD,6.178,7.115,5.8,7.115,1032.27,6787.94
2019-05-30,EOSUSD,6.35,6.52,5.85,6.178,1948.38,12200.92
2019-05-29,EOSUSD,6.3,6.4,5.866,6.35,2819.81,17593.83
2019-05-28,EOSUSD,5.624,6.3,5.524,6.3,2301.14,13519.7
2019-05-27,EOSUSD,5.33,5.749,5.159,5.624,1654.72,9072.19
2019-05-26,EOSUSD,5.2,5.37,5.078,5.33,146.56,765.43
2019-05-25,EOSUSD,5.391,5.391,5.19,5.2,66.59,348.56
2019-05-24,EOSUSD,5.262,5.401,5,5.391,328.06,1735.38
2019-05-23,EOSUSD,5.399,5.399,5.02,5.262,216.38,1098.49
2019-05-22,EOSUSD,5.21,5.4,5.02,5.399,290.11,1494.9
2019-05-21,EOSUSD,5.174,5.27,5.082,5.21,309.99,1599.73
2019-05-20,EOSUSD,5.59,5.59,5.147,5.174,532.12,2786.6
2019-05-19,EOSUSD,4.92,5.59,4.92,5.59,1204.31,6280.98
2019-05-18,EOSUSD,5.018,5.3,4.805,4.92,295.48,1500.03
2019-05-17,EOSUSD,5.621,5.621,4.75,5.018,559.4,2801.43
2019-05-16,EOSUSD,5.767,5.767,5,5.621,2012.35,11134.07
2019-05-15,EOSUSD,5.221,5.778,5.008,5.767,1740.53,9520.72
2019-05-14,EOSUSD,5.221,5.221,4.952,5.221,1013.25,5250.68
2019-05-13,EOSUSD,5.2,5.221,5.008,5.221,581.72,3019.75
2019-05-12,EOSUSD,5.09,5.221,4.952,5.2,820.02,4245.76
2019-05-11,EOSUSD,4.6,5.09,4.6,5.09,394.37,1931.19
2019-05-10,EOSUSD,4.7,4.786,4.6,4.6,207.4,964.11
2019-05-09,EOSUSD,4.392,4.858,4.392,4.7,148.46,707.62
2019-05-08,EOSUSD,4.6,4.853,4.2,4.392,357.8,1641.59
