Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2020-04-29,EOSBTC,0.0001864,0.0001994,0.0001864,0.0001864,18.75,0.003566
2020-04-28,EOSBTC,0.0001861,0.0001994,0.0001861,0.0001864,313.29,0.06094
2020-04-27,EOSBTC,0.000199,0.0001993,0.0001861,0.0001861,103.86,0.01935
2020-04-26,EOSBTC,0.0001994,0.0001994,0.0001862,0.000199,45.44,0.00879
2020-04-25,EOSBTC,0.0001877,0.0001994,0.0001861,0.0001994,282.93,0.0537
2020-04-24,EOSBTC,0.00019,0.0001997,0.0001877,0.0001877,310.39,0.05914
2020-04-23,EOSBTC,0.0002044,0.0002044,0.0001881,0.00019,330.56,0.06449
2020-04-22,EOSBTC,0.0002,0.0002044,0.0001883,0.0002044,167.51,0.03342
2020-04-21,EOSBTC,0.0001957,0.0002,0.0001878,0.0002,436.93,0.08484
2020-04-20,EOSBTC,0.0002044,0.0002044,0.0001939,0.0001957,73.39,0.01433
2020-04-19,EOSBTC,0.000194,0.0002044,0.0001939,0.0002044,317.98,0.06316
2020-04-18,EOSBTC,0.0001939,0.000194,0.000188,0.000194,142.06,0.02744
2020-04-17,EOSBTC,0.0002043,0.0002043,0.000189,0.0001939,189.87,0.03665
2020-04-16,EOSBTC,0.000202,0.0002043,0.0001861,0.0002043,188.99,0.03624
2020-04-15,EOSBTC,0.0002022,0.00021,0.000202,0.000202,426.49,0.08685
2020-04-14,EOSBTC,0.0002022,0.00021,0.000202,0.0002022,579.99,0.1196
2020-04-13,EOSBTC,0.0002085,0.0002085,0.000202,0.0002022,110.24,0.02228
2020-04-12,EOSBTC,0.0002099,0.0002109,0.0001853,0.0002085,146.09,0.0298
2020-04-11,EOSBTC,0.0001988,0.0002109,0.0001954,0.0002099,243.5,0.04921
2020-04-10,EOSBTC,0.00019,0.0002007,0.00019,0.0001988,296.9,0.05858
2020-04-09,EOSBTC,0.00018,0.000196,0.00018,0.00019,516.81,0.09751
2020-04-08,EOSBTC,0.0001912,0.0001912,0.00018,0.00018,168.39,0.03096
2020-04-07,EOSBTC,0.0001976,0.0001976,0.00018,0.0001912,324.8,0.05921
2020-04-06,EOSBTC,0.0001826,0.0001991,0.0001802,0.0001976,130.75,0.02545
2020-04-05,EOSBTC,0.0001901,0.0001991,0.0001825,0.0001826,139.37,0.0258
2020-04-04,EOSBTC,0.0001852,0.000205,0.0001852,0.0001901,90.13,0.01774
2020-04-03,EOSBTC,0.0001944,0.0002058,0.00018,0.0001852,415.56,0.07938
2020-04-02,EOSBTC,0.0002,0.0002058,0.0001863,0.0001944,192.86,0.03811
2020-04-01,EOSBTC,0.0001931,0.000216,0.00018,0.0002,495.9,0.09899
2020-03-31,EOSBTC,0.0002069,0.000253,0.0001896,0.0001931,1581.59,0.3533
2020-03-30,EOSBTC,0.0002121,0.0002153,0.0002069,0.0002069,57.7,0.01225
2020-03-29,EOSBTC,0.0002222,0.0002272,0.0002121,0.0002121,52.42,0.01127
2020-03-28,EOSBTC,0.0002068,0.0002222,0.0002068,0.0002222,173.18,0.03727
2020-03-27,EOSBTC,0.0002042,0.0002089,0.0002,0.0002068,72.98,0.0151
2020-03-26,EOSBTC,0.0002,0.0002096,0.0002,0.0002042,72.22,0.01488
2020-03-25,EOSBTC,0.0002,0.0002068,0.0002,0.0002,15.16,0.003082
2020-03-24,EOSBTC,0.0002017,0.0002121,0.0002,0.0002,214.63,0.04336
2020-03-23,EOSBTC,0.00023,0.00023,0.0002,0.0002017,392.43,0.08176
2020-03-22,EOSBTC,0.0002138,0.00023,0.0002121,0.00023,154.83,0.03458
2020-03-21,EOSBTC,0.0002427,0.0002465,0.0002118,0.0002138,232.54,0.05412
2020-03-20,EOSBTC,0.000248,0.000251,0.0002001,0.0002427,274.69,0.06333
2020-03-19,EOSBTC,0.0002391,0.0002532,0.0002254,0.000248,553.7,0.1362
2020-03-18,EOSBTC,0.000212,0.0002391,0.0002064,0.0002391,285.02,0.06491
2020-03-17,EOSBTC,0.0002257,0.0002315,0.00021,0.000212,367.99,0.08082
2020-03-16,EOSBTC,0.000191,0.0002432,0.000191,0.0002257,760.02,0.1705
2020-03-15,EOSBTC,0.0001916,0.0002007,0.000191,0.000191,221.81,0.04315
2020-03-14,EOSBTC,0.00018,0.0002291,0.0001741,0.0001916,725.92,0.1424
2020-03-13,EOSBTC,0.0001714,0.0001926,0.000153,0.00018,2492.28,0.4655
2020-03-12,EOSBTC,0.00016,0.000174,0.00015,0.0001714,976.84,0.1552
