Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume BTC
2020-04-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-04-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-31,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-03-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-02-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-31,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2020-01-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
