Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2020-04-29,ETHEUR,183.5,195,183.5,194.47,28.89,5546.28
2020-04-28,ETHEUR,181.42,183.5,176.5,183.5,369.78,67141.29
2020-04-27,ETHEUR,183.5,185.46,175.84,181.42,185.08,33418.19
2020-04-26,ETHEUR,179.99,184.92,179.99,183.5,61.64,11282.35
2020-04-25,ETHEUR,172.3,186.19,172.3,179.99,117.21,21178.24
2020-04-24,ETHEUR,172.2,176.8,172.2,172.3,21.23,3731.23
2020-04-23,ETHEUR,168.29,177.71,166.12,172.2,149.88,25663.69
2020-04-22,ETHEUR,159.12,171.23,159.12,168.29,70.71,11786.4
2020-04-21,ETHEUR,162.21,162.4,157.16,159.12,27.05,4327.03
2020-04-20,ETHEUR,167.8,173.77,157.33,162.21,165.51,27384.07
2020-04-19,ETHEUR,172.3,172.3,164.58,167.8,54.12,9138.66
2020-04-18,ETHEUR,157.64,172.3,157.64,172.3,84.61,13929.36
2020-04-17,ETHEUR,160,161.68,155,157.64,110.89,17629.65
2020-04-16,ETHEUR,143.06,160,138.58,160,94.31,14732.57
2020-04-15,ETHEUR,145.85,148.78,141,143.06,21.9,3168.35
2020-04-14,ETHEUR,144.61,148.59,142.88,145.85,19.33,2833.11
2020-04-13,ETHEUR,153.25,153.25,141.44,144.61,104.72,15133.19
2020-04-12,ETHEUR,144.7,154.7,144.7,153.25,108.58,16342.33
2020-04-11,ETHEUR,147.57,149.63,142.49,144.7,45.33,6638.48
2020-04-10,ETHEUR,147,149.18,142.01,147.57,88.35,12879.58
2020-04-09,ETHEUR,162.5,162.5,156.08,157.84,107.19,16976.97
2020-04-08,ETHEUR,153.74,162.5,151.88,162.5,103.24,16352.21
2020-04-07,ETHEUR,156.14,164,150.24,153.74,314.48,51023.47
2020-04-06,ETHEUR,133.67,157.02,133,156.14,95.21,13815.04
2020-04-05,ETHEUR,134.52,135.44,133.05,133.67,6.453,865.35
2020-04-04,ETHEUR,129.7,135,129.7,134.52,17.38,2315.45
2020-04-03,ETHEUR,130,134.99,124.65,129.7,56.98,7549.13
2020-04-02,ETHEUR,124.48,136.01,124.34,130,102.34,13421.66
2020-04-01,ETHEUR,122.03,124.48,120.1,124.48,24.37,2979.41
2020-03-31,ETHEUR,122,123.43,118.59,122.03,20.45,2512.53
2020-03-30,ETHEUR,121.89,124,117.77,122,28.08,3430.97
2020-03-29,ETHEUR,128.44,129.35,114.73,121.89,34.52,4102.94
2020-03-28,ETHEUR,120.35,130.3,115.52,128.44,55.5,6656.89
2020-03-27,ETHEUR,126.81,135,120.25,120.35,123.87,15714.09
2020-03-26,ETHEUR,127,128.82,126.38,126.81,3.514,450.15
2020-03-25,ETHEUR,130.99,133.26,124.9,127,79.87,10218.9
2020-03-24,ETHEUR,127,132.81,124,130.99,155.87,20367.26
2020-03-23,ETHEUR,124.51,128.91,114.96,127,83.13,10375.29
2020-03-22,ETHEUR,126.98,128.62,115,124.51,95.92,11769.46
2020-03-21,ETHEUR,128.35,130.96,120,126.98,34.62,4400.02
2020-03-20,ETHEUR,133.25,199,113.4,128.35,169.4,23343.83
2020-03-19,ETHEUR,108.01,133.25,108.01,133.25,186.96,23147.88
2020-03-18,ETHEUR,115.44,115.44,104.45,108.01,244.89,26312.9
2020-03-17,ETHEUR,100.04,116.83,100.04,115.44,241.56,26530.45
2020-03-16,ETHEUR,120.17,125,98,100.04,136.27,14623.59
2020-03-15,ETHEUR,118.22,123.1,112,120.17,23.71,2724.99
2020-03-14,ETHEUR,123.93,130.83,112.71,118.22,56.03,6827.87
2020-03-13,ETHEUR,106.25,310,90,123.93,305.13,41427.22
2020-03-12,ETHEUR,180.17,180.17,85,106.25,119.26,14554.32
2020-03-11,ETHEUR,180,181.44,165,180.17,37.9,6636.15
2020-03-10,ETHEUR,173.92,314.5,173.92,180,129.2,26119.85
2020-03-09,ETHEUR,180,195.11,171.16,173.92,285.48,50211.66
2020-03-08,ETHEUR,211.23,211.23,180,180,80.54,15664.85
2020-03-07,ETHEUR,217.49,222.78,211.23,211.23,186.16,40030.44
2020-03-06,ETHEUR,202.57,217.49,202.57,217.49,111.72,23397.43
2020-03-05,ETHEUR,202.98,211,202.57,202.57,179.51,37127.81
2020-03-04,ETHEUR,208.93,209.99,200.1,202.98,11.28,2293.7
2020-03-03,ETHEUR,211,219.03,201.49,208.93,29.67,6188.21
2020-03-02,ETHEUR,193.7,213.74,193.7,211,14.33,2965.13
2020-03-01,ETHEUR,207.08,250,165,193.7,176.34,36158.12
2020-02-29,ETHEUR,205.23,210.21,201.52,207.08,8.519,1752.67
2020-02-28,ETHEUR,207,215.84,199,205.23,11.17,2323.2
2020-02-27,ETHEUR,215.09,225.89,196.98,207,26.61,5636.72
2020-02-26,ETHEUR,230.64,235.69,202,215.09,98.91,22156.84
2020-02-25,ETHEUR,245.43,250,230.64,230.64,103.9,25077.76
2020-02-24,ETHEUR,256.47,259.45,245.43,245.43,2.949,753.62
2020-02-23,ETHEUR,242.15,256.47,242.15,256.47,16.8,4242.71
2020-02-22,ETHEUR,249.08,249.08,241,242.15,5.931,1440.73
2020-02-21,ETHEUR,249.6,253,240.86,249.08,10.71,2676.5
2020-02-20,ETHEUR,244.83,249.9,235,249.6,31.57,7606.31
2020-02-19,ETHEUR,262.16,268.06,235,244.83,359.73,92485.13
2020-02-18,ETHEUR,241.4,269.43,239.21,262.16,182.43,46467.13
2020-02-17,ETHEUR,239.98,245.76,222,241.4,115.4,26809.83
2020-02-16,ETHEUR,249.91,254.04,200,239.98,90.78,21723.89
2020-02-15,ETHEUR,264.4,267.12,243.26,249.91,64.01,16742.99
2020-02-14,ETHEUR,243.48,265.12,242.72,264.4,93.15,23682.11
2020-02-13,ETHEUR,249.1,255.31,238.67,243.48,212.05,51563.89
2020-02-12,ETHEUR,218.29,251.13,218.29,249.1,114.76,26961.72
2020-02-11,ETHEUR,205.97,219,200.41,218.29,63.57,13324.39
2020-02-10,ETHEUR,209,209,193.62,205.97,324.47,65284.44
2020-02-09,ETHEUR,204.51,210.31,204.51,209,54.85,11473.29
2020-02-08,ETHEUR,206.08,210,197.33,204.51,87.74,17761.9
2020-02-07,ETHEUR,194.71,210,194.71,206.08,197.4,39939.58
2020-02-06,ETHEUR,186.21,197.66,185.28,194.71,228.29,44115.4
2020-02-05,ETHEUR,170.38,189.13,170.38,186.21,73.79,13398.12
2020-02-04,ETHEUR,171,171,167.52,170.38,18.05,3058.37
2020-02-03,ETHEUR,170,176,169.51,171,19.21,3271.38
2020-02-02,ETHEUR,165.6,175,164.06,170,45.97,7718.69
2020-02-01,ETHEUR,162.27,165.84,162.27,165.6,96.5,15849.76
2020-01-31,ETHEUR,167.8,167.8,159.81,162.27,112.25,18087.09
2020-01-30,ETHEUR,159.54,168,158.14,167.8,110.98,17982.54
2020-01-29,ETHEUR,159,161.86,156.63,159.54,180.64,28856.48
2020-01-28,ETHEUR,154.5,159.37,154.3,159,32.79,5152.05
2020-01-27,ETHEUR,150.2,155,150.2,154.5,29.65,4545.95
2020-01-26,ETHEUR,145.52,150.2,145.52,150.2,4.262,631.68
2020-01-25,ETHEUR,146.51,146.51,144.7,145.52,26.37,3851.21
2020-01-24,ETHEUR,146.55,146.55,141.34,146.51,62.26,8937.48
2020-01-23,ETHEUR,151.47,151.47,145.28,146.55,38.65,5703.44
2020-01-22,ETHEUR,153.02,153.02,150,151.47,10.74,1620.25
2020-01-21,ETHEUR,150.54,153.02,148.46,153.02,14.86,2236.75
2020-01-20,ETHEUR,148.46,152.48,146.73,150.54,6.08,902.73
2020-01-19,ETHEUR,157.91,159.19,148.46,148.46,68.22,10373.26
2020-01-18,ETHEUR,153.74,160.1,149.15,157.91,37.07,5622.61
2020-01-17,ETHEUR,148.39,156,146.1,153.74,369.16,56493.48
2020-01-16,ETHEUR,152.02,152.02,144.49,148.39,37.21,5426.1
2020-01-15,ETHEUR,149.56,153,143.59,152.02,222.32,32759.3
2020-01-14,ETHEUR,132.81,152.94,131.87,149.56,349.63,49325.24
2020-01-13,ETHEUR,130.4,132.81,128.18,132.81,155.4,20102.32
2020-01-12,ETHEUR,130.03,130.73,129.82,130.4,46.92,6110.23
2020-01-11,ETHEUR,128.41,134.28,128.41,130.03,92.68,12197.91
2020-01-10,ETHEUR,123.63,129.07,122.84,128.41,38.62,4908.8
2020-01-09,ETHEUR,124.75,126,122.55,123.63,61.21,7623.98
2020-01-08,ETHEUR,126.9,129.42,124.53,124.75,379.31,48782.84
2020-01-07,ETHEUR,129.11,129.46,125.14,126.9,173.54,22115.96
2020-01-06,ETHEUR,120.48,129.11,120.48,129.11,28.18,3478.54
2020-01-05,ETHEUR,120.5,123.93,120.48,120.48,37.49,4580.03
2020-01-04,ETHEUR,119.73,121,119.45,120.5,53.24,6380.49
2020-01-03,ETHEUR,113.99,120.48,112.03,119.73,473.42,56305.14
2020-01-02,ETHEUR,115.11,116.14,113.6,113.99,431.7,49661.46
2020-01-01,ETHEUR,120,120,115.11,115.11,0.09,10.36
2019-12-31,ETHEUR,123.46,123.73,114.54,120,1.634,200.3
2019-12-30,ETHEUR,122.99,123.46,120.3,123.46,2.17,262.79
2019-12-29,ETHEUR,111.17,122.99,111.17,122.99,5.849,718.19
2019-12-28,ETHEUR,117.53,119.17,110.99,111.17,0.2222,25.59
2019-12-27,ETHEUR,123.95,123.95,110.02,117.53,6.621,778.24
2019-12-26,ETHEUR,114.43,123.95,114.43,123.95,0.4964,61.53
2019-12-25,ETHEUR,114.43,114.43,114.43,114.43,0.0,0.0
2019-12-24,ETHEUR,124,124,114.43,114.43,10.05,1216.86
2019-12-23,ETHEUR,120,124,120,124,1.605,199.0
2019-12-22,ETHEUR,119.45,120,114.54,120,23.25,2783.78
2019-12-21,ETHEUR,118.84,119.45,114.54,119.45,30.13,3571.3
2019-12-20,ETHEUR,124.74,124.74,118.84,118.84,1.022,121.43
2019-12-19,ETHEUR,124.82,124.82,124.74,124.74,0.08017,10.0
2019-12-18,ETHEUR,110,124.82,108.94,124.82,2.882,343.41
2019-12-17,ETHEUR,121,122.27,110,110,9.179,1089.56
2019-12-16,ETHEUR,129.67,129.67,121,121,0.216,26.37
2019-12-15,ETHEUR,129.67,129.67,129.67,129.67,0.0,0.0
2019-12-14,ETHEUR,129.67,129.67,129.67,129.67,0.0,0.0
2019-12-13,ETHEUR,133.37,133.37,128.56,129.67,0.5327,68.74
2019-12-12,ETHEUR,133.37,133.37,133.37,133.37,0.0,0.0
2019-12-11,ETHEUR,131.4,133.37,131.07,133.37,18.08,2386.67
2019-12-10,ETHEUR,135.5,135.5,131.06,131.4,126.48,16682.36
2019-12-09,ETHEUR,133,135.5,133,135.5,1.326,179.06
2019-12-08,ETHEUR,133.27,133.27,133,133,0.09638,12.82
2019-12-07,ETHEUR,134.44,135.11,133.27,133.27,1.702,229.14
