Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-03-13,BTCEUR,4554.93,6384.3,3687.94,5166.62,136.44,706468.62
2020-03-12,BTCEUR,7062.9,7073.99,4500,4554.93,107.37,595116.99
2020-03-11,BTCEUR,7010.56,7212.57,6830,7062.9,66.48,465017.55
2020-03-10,BTCEUR,6931.84,7390,6929.44,7010.56,120.3,862403.12
2020-03-09,BTCEUR,7070,7158.69,6770,6931.84,147.53,1029119.06
2020-03-08,BTCEUR,7907.83,7907.83,7070,7070,14.45,109359.96
2020-03-07,BTCEUR,8107.14,8144.4,7872,7907.83,7.993,64277.38
2020-03-06,BTCEUR,8080,8187,8015,8107.14,91.19,741234.41
2020-03-05,BTCEUR,7862.61,8268.25,7862.61,8080,75.98,620672.24
2020-03-04,BTCEUR,7866.06,8038.97,7820.34,7862.61,53.04,421312.78
2020-03-03,BTCEUR,7999.8,8114,7797.98,7866.06,109.15,877611.81
2020-03-02,BTCEUR,7728.45,8133.46,7707.38,7999.8,59.61,479115.64
2020-03-01,BTCEUR,7905.17,7999.99,7670.7,7728.45,7.132,55961.68
2020-02-29,BTCEUR,7940.01,8088.88,7794.72,7905.17,3.14,24960.25
2020-02-28,BTCEUR,7991.96,8188.49,7710.63,7940.01,63.98,510990.2
2020-02-27,BTCEUR,8244.5,8369.16,7912.69,7991.96,58.38,475224.92
2020-02-26,BTCEUR,8644.71,8710.32,8005.97,8244.5,77.08,654901.51
2020-02-25,BTCEUR,8939.34,9058.81,8583.53,8644.71,47.47,425610.97
2020-02-24,BTCEUR,9209.38,9254.51,8827.16,8939.34,65.18,593249.94
2020-02-23,BTCEUR,8933.89,9248.91,8917.26,9209.38,5.995,54692.67
2020-02-22,BTCEUR,8957.8,8991.07,8880.01,8933.89,2.312,20650.92
