Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume BTC
2020-04-29,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-28,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-27,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-26,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-25,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-24,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-23,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-22,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-21,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-20,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-19,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-18,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-17,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-16,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-15,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-14,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-13,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-12,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-11,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-10,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-09,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-08,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-07,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-06,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-05,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-04,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-03,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-02,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-04-01,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-31,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-30,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-29,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-28,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-27,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-26,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-25,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-24,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-23,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-22,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-21,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-20,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-19,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-18,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-17,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-16,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-15,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-14,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-13,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-12,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-11,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-10,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-09,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-08,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2020-03-07,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
